Word,Category,Similarity,Frequency
가족,가족,1,1
감금,폭력,0.6267549395561218,1
감상,음악,0.6411212086677551,1
감정,심리,0.7588332891464233,1
감찰,고문,0.5688421130180359,4
걱정,후회,0.651527464389801,1
검사,심리,0.583127498626709,1
검안,의료,0.5763418078422546,1
검험,액션,1,1
경쟁,갈등,0.6576756238937378,2
고향,시골,0.6128569841384888,1
공포,공포,1,11
공포감,무력감,0.6693056225776672,1
공포물,개그,0.6559643149375916,1
과정,교육,0.6268183588981628,3
관람,여행,0.5587009191513062,7
괴담,괴담,1,1
괴롭힘,죄책감,0.5694694519042969,1
괴한,폭력,0.6403436660766602,1
국가,경제,0.7089344263076782,2
궁궐,도시,0.5612877607345581,6
궁녀,도둑,0.5472636818885803,49
궁중,음식,0.6099324226379395,2
궁합,연애,0.5512279272079468,1
권력,권력,1,2
귀결,혼란,0.515130341053009,1
그림자,유령,0.5297560691833496,2
금지,도박,0.519909143447876,3
기대감,기대,0.6246221661567688,1
긴장,불안,0.6880083084106445,1
남자,사랑,0.5456969141960144,1
내면,내면,1,1
내역,여행,0.5270281434059143,1
넘버,액션,0.5979622006416321,1
느낌,슬픔,0.6343626976013184,2
대궐,감옥,0.5194004774093628,2
데뷔작,드라마,0.5683770775794983,3
도움,기대,0.5482439994812012,1
마마,괴담,0.5682917833328247,3
마음,기쁨,0.6783162951469421,2
먹거리,음식,0.5923094749450684,1
모습,꿈,0.5368646383285522,2
무단,폭력,0.5057473182678223,1
문제,갈등,0.6495088934898376,1
미스터리,미스터리,1,3
미스테리,미스터리,0.7573594450950623,5
발견,발견,1,5
발생,혼란,0.6102904081344604,2
방해,혼란,0.5498800277709961,1
배급,교육,0.5531435608863831,1
배제,상실,0.6328111886978149,1
배치,수색,0.5295758843421936,1
변모,성장,0.627336323261261,1
변질,혼란,0.5490893125534058,1
보존,환경,0.5902678370475769,1
보호,환경,0.6321627497673035,1
본능,욕망,0.7253124713897705,1
분란,폭력,0.6131488680839539,1
비극,살인,0.6638696789741516,1
비중,성장,0.5152275562286377,2
사건,살인,0.7159186005592346,17
사극,드라마,0.6280291676521301,6
사랑,사랑,1,2
사항,여행,0.572464108467102,1
살인,살인,1,3
살해,살인,0.6861730217933655,2
상궁,가족,0.5722880363464355,8
상담,심리,0.672296941280365,2
상대,추격,0.558393657207489,1
생산,농업,0.6487099528312683,2
서사,신화,0.6202012896537781,1
성공,성장,0.6859850287437439,1
소득,경제,0.648128092288971,1
소유물,욕망,0.581021785736084,1
소품,인형,0.6749653220176697,1
수사,범죄,0.673683226108551,2
스릴,액션,0.6477225422859192,1
스릴러,스릴러,1,8
스틸,액션,0.5995299220085144,1
습격,반란,0.656060516834259,1
시리즈,만화,0.5106303691864014,1
시신,수색,0.6265639066696167,3
시작,발견,0.534450113773346,2
심령,종교,0.563132107257843,1
심리,심리,1,1
아들,가족,0.5667959451675415,3
알력,갈등,0.7153276801109314,1
암투,갈등,0.6965560913085938,1
어둠,절망,0.694835364818573,2
억압,고통,0.7086395621299744,2
여우,동물,0.6776934266090393,2
여자,사랑,0.5380519032478333,1
여행,여행,1,1
연애,연애,1,1
연애편지,이별,0.5136134028434753,1
연출,액션,0.5377380847930908,6
영화,만화,0.7536719441413879,38
영화인,다큐멘터리,0.5932591557502747,1
예고편,드라마,0.5787103772163391,3
예상,기대,0.655988872051239,2
옥체,액션,1,1
왕자,도둑,0.5981267690658569,2
외간,연애,0.5007212162017822,1
욕망,욕망,1,3
용의자,살인,0.5122509598731995,1
우려,혼란,0.6615874171257019,1
은폐,범죄,0.6886423230171204,1
음악,음악,1,1
의심,의심,1,1
의아,의심,0.5598284602165222,1
의혹,살인,0.6198999285697937,1
이름,신화,0.5608668327331543,1
이색,음식,0.5815243124961853,1
인물,정치,0.5848035216331482,10
임금,평등,0.582544207572937,1
자결,저항,0.6208982467651367,1
자백,범죄,0.5797169804573059,1
자식,가족,0.5835269689559937,1
잔인,음모,0.569640040397644,2
잔혹,폭력,0.6832144260406494,1
장르,음악,0.7329081892967224,5
장벽,불안,0.5758340358734131,1
장소,여행,0.6031988263130188,1
장편,만화,0.7140740752220154,2
재미,모험,0.6051297187805176,1
전념,헌신,0.5255851745605469,1
전통,음식,0.6568764448165894,1
정보,교통,0.6121577620506287,11
정절,사랑,0.6046717762947083,1
정체불명,외계인,0.5420896410942078,1
제작,방송,0.6307950615882874,1
제작진,드라마,0.5286853313446045,1
조카,가족,0.5838918089866638,1
종묘,음식,0.5342101454734802,1
죄책감,죄책감,1,1
죽음,고독,0.6896678805351257,2
줄거리,드라마,0.531794548034668,4
증거,발견,0.5749884247779846,4
집단,폭력,0.6576167941093445,1
채널,방송,0.7239679098129272,1
책봉,멸망,0.5411001443862915,3
처소,가족,0.5518384575843811,1
청소년,교육,0.5544909238815308,2
촬영,방송,0.6484997272491455,1
최초,발견,0.5291507840156555,2
추천,여행,0.5768113136291504,6
추측,의심,0.6156793236732483,1
출산,교육,0.600229024887085,1
출세,권력,0.5865880250930786,3
출연,방송,0.659591019153595,1
취조,살인,0.6249642372131348,1
치정,살인,0.6317488551139832,2
침묵,고독,0.6911026239395142,1
침전,저항,0.5533695816993713,1
타살,의심,0.6011494398117065,3
탐심,기쁨,0.5965400338172913,1
평론가,다큐멘터리,0.5252968668937683,1
폐쇄,수색,0.5324417948722839,2
행적,정치,0.5065699219703674,1
허무,고독,0.7212852835655212,2
형벌,범죄,0.6124672889709473,1
