Word,Category,Similarity,Frequency
가수,음악,0.6117961406707764,1
가슴,상처,0.6098507642745972,1
가치,윤리,0.6346501111984253,2
갈등,갈등,1,1
감상,음악,0.6411212086677551,1
감정,심리,0.7588332891464233,1
감흥,슬픔,0.63573157787323,1
개요,여행,0.5623396039009094,1
거리,도시,0.60332190990448,1
결혼,연애,0.6863196492195129,1
경향,정치,0.5916027426719666,1
계절,이별,0.5606238842010498,1
계획,여행,0.6060113906860352,2
고교,학교,0.6200820207595825,3
고등,과학,0.6939653754234314,1
고등학교,학교,0.6346824765205383,7
고향,시골,0.6128569841384888,2
공동,대화,0.5171006321907043,2
공포,공포,1,1
관람,여행,0.5587009191513062,2
관심,기대,0.6249675154685974,1
괴롭힘,죄책감,0.5694694519042969,1
교제,연애,0.6230595707893372,1
구두,미술,0.5378967523574829,1
국가,경제,0.7089344263076782,1
근처,학교,0.5683311223983765,1
기금,경제,0.5533749461174011,1
기대,기대,1,2
기분,유쾌,0.6678951382637024,2
기억,사랑,0.6537694931030273,3
기타,음악,0.5873071551322937,2
나날,이별,0.6136053204536438,1
남자,사랑,0.5456969141960144,3
남편,가족,0.6233720779418945,3
노래,춤,0.7242721915245056,8
노트북,컴퓨터,0.692142903804779,1
농담,개그,0.6088651418685913,3
눈길,동정,0.5653472542762756,1
뉴요커,탐정,0.5065152645111084,1
댓글,후회,0.505795419216156,1
도착,여행,0.6466491222381592,2
드라마,드라마,1,4
러브,액션,0.6233081817626953,1
레드,정글,0.5992697477340698,1
레크리에이션,스포츠,0.6411136984825134,1
마비,혼란,0.6122421026229858,1
마음,기쁨,0.6783162951469421,3
만족,기대,0.6570032238960266,1
모교,학교,0.5476897954940796,1
모드,액션,0.6706643104553223,1
모습,꿈,0.5368646383285522,4
모험,모험,1,2
뮤지션,뮤지컬,0.5509675741195679,4
미혼모,사회문제,0.5584257245063782,1
밉상,개그,0.5608657002449036,1
발견,발견,1,3
방문,여행,0.5841829180717468,1
변호,고문,0.5660040378570557,1
부모,가족,0.6875284910202026,4
불안,불안,1,1
비중,성장,0.5152275562286377,2
사건,살인,0.7159186005592346,2
사람,꿈,0.5610076785087585,13
사랑,사랑,1,6
사진,미술,0.5546669960021973,2
상영,방송,0.6350025534629822,1
생각,후회,0.6602693200111389,5
서클,액션,0.5057802796363831,1
성공,성장,0.6859850287437439,3
세상,기쁨,0.6082786321640015,1
수키,탐정,0.5065964460372925,1
스타덤,언더독,0.525584876537323,1
스포트라이트,드라마,0.5110124945640564,1
시리즈,만화,0.5106303691864014,1
