Word,Category,Similarity,Frequency
가극,음악,0.6260945796966553,2
가난,고통,0.7040712237358093,2
가능,여행,0.6136982440948486,12
가발,인형,0.6572422385215759,1
가부장,권력,0.5734140872955322,1
가상,우주,0.619330644607544,2
가속,충격,0.5504187941551208,3
가슴,상처,0.6098507642745972,2
가입,희망,0.5199176073074341,1
가정,가족,0.7013463377952576,2
가족,가족,1,20
가짜,괴담,0.5858274698257446,1
가치,윤리,0.6346501111984253,4
가톨릭,종교,0.5992807149887085,1
간판,학교,0.5174685716629028,1
간호,교육,0.6981058716773987,1
갈등,갈등,1,14
감동,기쁨,0.6450744271278381,20
감상,음악,0.6411212086677551,15
감정,심리,0.7588332891464233,27
감탄,열정,0.5392419099807739,1
강력,충격,0.5549739599227905,2
강요,용서,0.5793744921684265,2
강점,성장,0.5418332815170288,1
개념,교육,0.6287856698036194,2
개발자,컴퓨터,0.5119759440422058,1
개성,자아,0.5115846395492554,7
개작,춤,0.509688675403595,2
갱단,해적,0.6509640216827393,1
거드름,부도덕,0.5116766095161438,1
거리,도시,0.60332190990448,4
거장,미술,0.5483318567276001,1
거짓,범죄,0.5651490092277527,1
거짓말,부도덕,0.5334540605545044,2
거품,충격,0.5463438630104065,1
걱정,후회,0.651527464389801,2
건설,도시,0.6078121066093445,1
검색,여행,0.6249870657920837,3
겉치레,부도덕,0.5358470678329468,1
격노,분노,0.6423977017402649,1
격리,수색,0.6269633769989014,2
격정,분노,0.6496756076812744,1
결산,방송,0.5462602376937866,1
결혼,연애,0.6863196492195129,57
경과,전투,0.537216067314148,1
경쟁,갈등,0.6576756238937378,2
경제,경제,1,1
경향,정치,0.5916027426719666,2
경험,열정,0.6344258189201355,7
계획,여행,0.6060113906860352,9
고급,음식,0.5831040740013123,4
고등학교,학교,0.6346824765205383,2
고소,고문,0.5505225658416748,2
고스트,미스터리,0.501964271068573,2
고심,기대,0.5159546732902527,1
고의,범죄,0.5445482730865479,1
고전,미술,0.6437533497810364,24
고통,고통,1,2
고풍,기쁨,0.5386812686920166,1
골목,괴담,0.5829960107803345,1
공격,전투,0.6404148936271667,4
공부,교육,0.6627280712127686,3
공연,음악,0.7031762599945068,40
공주,유령,0.5845017433166504,1
공헌,헌신,0.5855354070663452,1
과도,권력,0.5410835146903992,1
과정,교육,0.6268183588981628,1
관광지,교통,0.5272136926651001,1
관념,욕망,0.6592566967010498,1
관람,여행,0.5587009191513062,10
관습,종교,0.6429370641708374,1
관심,기대,0.6249675154685974,7
관전,정치,0.5587530136108398,1
관통,충격,0.5143977403640747,2
광고,방송,0.6559303998947144,1
교훈,희망,0.596325695514679,3
구간,교통,0.5263970494270325,1
구매,여행,0.5682201981544495,2
구조,환경,0.6101574897766113,2
구혼,연애,0.5357731580734253,1
국가,경제,0.7089344263076782,1
군무,춤,0.6408714652061462,3
굴복,배신,0.5670102834701538,1
궁극,생존,0.5224151611328125,3
궁성,군사,0.5739672183990479,1
권력,권력,1,4
귀족,권력,0.5714877843856812,8
규범,윤리,0.7303454875946045,1
극단,미술,0.5709163546562195,3
극도,괴담,0.5402888059616089,2
극복,고통,0.6304678916931152,3
극작가,뮤지컬,0.5212523937225342,1
금지,도박,0.519909143447876,1
기대,기대,1,10
기독교,종교,0.6900428533554077,2
기름,전기,0.5815778970718384,1
기분,유쾌,0.6678951382637024,4
기억,사랑,0.6537694931030273,7
기획,교육,0.625312864780426,1
긴장,불안,0.6880083084106445,2
난폭,폭력,0.6763105392456055,2
날강도,도둑,0.5098617672920227,1
날개,유령,0.5668269395828247,1
남녀,평등,0.5715689063072205,10
남자,사랑,0.5456969141960144,10
남편,가족,0.6233720779418945,4
납득,용서,0.5769292116165161,1
납치,살인,0.6689104437828064,1
내레이션,다큐멘터리,0.5530755519866943,1
내면,내면,1,3
내재,욕망,0.6369141936302185,1
넘버,액션,0.5979622006416321,1
노동자,시민운동,0.5217600464820862,1
노래,춤,0.7242721915245056,20
노력,헌신,0.6555296182632446,5
노여움,무력감,0.5976505279541016,1
노트북,컴퓨터,0.692142903804779,2
녹음,음악,0.6460626721382141,1
논란,갈등,0.5854588747024536,1
놀이,춤,0.6705771684646606,2
농담,개그,0.6088651418685913,1
