Word,Category,Similarity,Frequency
가족,가족,1,5
감내,고통,0.5415177941322327,1
감상,음악,0.6411212086677551,2
감정,심리,0.7588332891464233,1
거대,괴물,0.5640032887458801,2
거리,도시,0.60332190990448,1
걱정,후회,0.651527464389801,1
검사,심리,0.583127498626709,1
검색,여행,0.6249870657920837,1
경험,열정,0.6344258189201355,1
계곡,설원,0.5840649604797363,1
고립,불안,0.661411464214325,1
고전,미술,0.6437533497810364,1
고통,고통,1,3
곡성,좀비,0.5742064714431763,1
곤충,동물,0.8180686831474304,2
공동,대화,0.5171006321907043,2
공부,교육,0.6627280712127686,2
공연,음악,0.7031762599945068,1
공주,유령,0.5845017433166504,2
공포,공포,1,8
과정,교육,0.6268183588981628,2
관장,고문,0.5125513076782227,1
광신도,부도덕,0.5766445398330688,2
국가,경제,0.7089344263076782,2
굴레,욕망,0.5908722877502441,1
기독교도,종교,0.5153618454933167,1
기억,사랑,0.6537694931030273,1
남자,사랑,0.5456969141960144,3
남친,연애,0.6194848418235779,1
내면,내면,1,1
노래,춤,0.7242721915245056,2
노력,헌신,0.6555296182632446,1
노인,가족,0.6170642375946045,2
논문,과학,0.5451151728630066,5
느낌,슬픔,0.6343626976013184,5
다짐,열정,0.6131012439727783,1
대학원,학교,0.5080148577690125,2
댄스,음악,0.7449625134468079,1
도서관,학교,0.5833439230918884,1
도움,기대,0.5482439994812012,1
독특,춤,0.5334261655807495,2
돼지,동물,0.6352735757827759,1
드라마,드라마,1,1
라스,정글,0.5619231462478638,1
로켓,우주,0.6648953557014465,1
리틀,정글,0.6318785548210144,1
만감,이별,0.5805405974388123,1
맹목,욕망,0.6913981437683105,1
명작,만화,0.6867616772651672,1
모순,갈등,0.6281998157501221,1
모습,꿈,0.5368646383285522,7
몰락,멸망,0.6989313364028931,1
문자,대화,0.5297391414642334,2
미드,정글,0.6025518774986267,2
미스터리,미스터리,1,1
미신,괴담,0.6642755270004272,1
박학,철학,0.5282098054885864,1
방문,여행,0.5841829180717468,2
배려,헌신,0.6277512907981873,1
버러지,부도덕,0.5592832565307617,1
부모,가족,0.6875284910202026,3
부정,폭력,0.6489901542663574,1
비관,불안,0.7107456922531128,1
비극,살인,0.6638696789741516,1
빙의,마법,0.5283884406089783,1
사람,꿈,0.5610076785087585,15
사악,유쾌,0.588767945766449,1
사운드,음악,0.5262696146965027,3
사이비,음모론,0.5071605443954468,1
사회,경제,0.8096231818199158,2
상반,기대,0.5090402364730835,2
상영,방송,0.6350025534629822,2
상황,혼란,0.6442916989326477,1
색감,미술,0.5213123559951782,1
생각,후회,0.6602693200111389,4
서부극,코미디,0.6577169299125671,1
서브,액션,0.61309415102005,1
서사,신화,0.6202012896537781,1
선택,희망,0.5827092528343201,2
설득,대화,0.5834951996803284,1
설치,교육,0.5344357490539551,1
성공,성장,0.6859850287437439,1
세계,경제,0.6071235537528992,2
세상,기쁨,0.6082786321640015,1
소설,만화,0.8215566873550415,1
소속감,헌신,0.5539800524711609,1
스트레스,무력감,0.6226179003715515,2
시작,발견,0.534450113773346,1
시즌,방송,0.5284544229507446,1
신병,군대,0.5912418365478516,2
신분,평등,0.5665543079376221,2
실종,살인,0.5558342933654785,1
실패,후회,0.6084508299827576,1
심리,심리,1,1
심리학,심리,0.6040275692939758,2
싸움,전투,0.6696678996086121,1
어프레이드,판타지,0.5159649848937988,1
엔진,전기,0.573421835899353,1
여왕,유령,0.5411664247512817,1
여자,사랑,0.5380519032478333,1
여행,여행,1,2
역전,살인,0.5333908200263977,2
연애,연애,1,2
연애사,연애,0.5547620058059692,1
연인,사랑,0.6981024742126465,1
연출,액션,0.5377380847930908,3
열광,분노,0.6348607540130615,1
열기,여행,0.5069565176963806,1
영상미,액션,0.5695945620536804,1
영향,기대,0.5794242024421692,2
영화,만화,0.7536719441413879,55
영화관,드라마,0.5831791758537292,2
예상,기대,0.655988872051239,1
왕관,인형,0.565689742565155,1
외면,고통,0.6066063046455383,1
울음,슬픔,0.669041633605957,1
웃음,개그,0.6434062123298645,1
위로,바다,0.5024420619010925,4
위협,폭력,0.639009416103363,2
