Word,Category,Similarity,Frequency
가난,고통,0.7040712237358093,1
가상,우주,0.619330644607544,1
가슴,상처,0.6098507642745972,1
가시,상처,0.5885528922080994,1
감동,기쁨,0.6450744271278381,2
감상,음악,0.6411212086677551,1
감옥,감옥,1,1
감정,심리,0.7588332891464233,3
개그,개그,1,2
개론,과학,0.6788937449455261,1
걱정,후회,0.651527464389801,1
건설,도시,0.6078121066093445,1
격파,전투,0.590761125087738,1
견인,성장,0.5418386459350586,1
고무,전기,0.5589732527732849,1
고문,고문,1,1
고취,헌신,0.6096725463867188,1
고통,고통,1,1
과정,교육,0.6268183588981628,3
관람,여행,0.5587009191513062,1
괴리,갈등,0.6599999666213989,1
괴물,괴물,1,1
괴작,괴물,0.5208446383476257,2
구간,교통,0.5263970494270325,2
구설수,갈등,0.509760856628418,1
국가,경제,0.7089344263076782,1
극복,고통,0.6304678916931152,1
금물,후회,0.5201614499092102,1
기대,기대,1,2
기분,유쾌,0.6678951382637024,2
난국,절망,0.5814732313156128,1
납득,용서,0.5769292116165161,1
노동,경제,0.6806643605232239,1
노력,헌신,0.6555296182632446,1
논란,갈등,0.5854588747024536,6
느낌,슬픔,0.6343626976013184,1
단장,동정,0.5008994936943054,2
당위,질서,0.6208310127258301,1
대결,갈등,0.5924415588378906,2
대답,후회,0.5436964631080627,2
도달,발견,0.5293484926223755,1
도움,기대,0.5482439994812012,1
돌발,재난,0.5403636693954468,1
드라마,드라마,1,4
뚜껑,용기,0.6211519241333008,1
뜬끔,액션,1,1
레이스,스포츠,0.55909663438797,1
마음,기쁨,0.6783162951469421,1
마찰,갈등,0.6304974555969238,1
마케팅,가상현실,0.5079087615013123,2
만족감,기대,0.5598728656768799,1
매력,열정,0.6489761471748352,2
먹거리,음식,0.5923094749450684,1
멀미,불안,0.5440353751182556,1
메시지,대화,0.5048822164535522,3
모양,인형,0.6405982375144958,1
몰입,열정,0.6674494743347168,2
몸싸움,폭력,0.5063389539718628,1
문제,갈등,0.6495088934898376,6
문제점,사회문제,0.5382509231567383,3
뮤지컬,뮤지컬,1,1
반감,분노,0.6136011481285095,3
반일,독재,0.5812307596206665,2
발상,철학,0.5057413578033447,1
발퀄,액션,1,1
발휘,기대,0.5250481367111206,1
방해,혼란,0.5498800277709961,1
배급사,드라마,0.5019193887710571,1
범죄자,범죄,0.5728323459625244,1
변명,욕망,0.5581992864608765,1
볏짚,동물,0.5182418823242188,1
보증,의료,0.5057603716850281,1
보호,환경,0.6321627497673035,1
부당,폭력,0.577399492263794,1
부들,설원,0.5400566458702087,1
분야,과학,0.6800429821014404,1
빈민,시골,0.6134941577911377,1
사격,군사,0.6131762266159058,1
사기,도박,0.624628484249115,1
사람,꿈,0.5610076785087585,5
사전,교육,0.5635393261909485,1
상대,추격,0.558393657207489,1
상습,범죄,0.6000375747680664,2
상황,혼란,0.6442916989326477,2
생각,후회,0.6602693200111389,7
생활,환경,0.7009555697441101,2
서사,신화,0.6202012896537781,3
선례,범죄,0.505627453327179,1
선택,희망,0.5827092528343201,1
설득,대화,0.5834951996803284,1
성공,성장,0.6859850287437439,1
성장,성장,1,1
소설,만화,0.8215566873550415,1
속성,환경,0.6046976447105408,1
수탈,독재,0.603090226650238,1
스릴,액션,0.6477225422859192,1
스포츠,스포츠,1,10
시대극,드라마,0.6777624487876892,1
시리즈,만화,0.5106303691864014,1
시작,발견,0.534450113773346,1
시청,방송,0.6024045944213867,1
식단,음식,0.6338552832603455,1
식이,음식,0.5225057601928711,1
신념,욕망,0.6720592975616455,2
실감,기대,0.5343434810638428,1
실사,만화,0.575007438659668,1
실존,생존,0.5969371199607849,1
실패,후회,0.6084508299827576,3
실험,과학,0.6881481409072876,1
심리,심리,1,2
싸움,전투,0.6696678996086121,1
암살,음모,0.6178366541862488,1
애국심,자존심,0.5142337679862976,1
애니메이션,만화,0.68199223279953,1
약점,배신,0.5301685929298401,2
어필,열정,0.5022490620613098,1
업적,과학,0.528052568435669,1
에피소드,드라마,0.5304465889930725,2
여자,사랑,0.5380519032478333,1
여행,여행,1,1
역경,절망,0.6212114691734314,1
역사,철학,0.6869469285011292,3
연극,미술,0.7502412796020508,1
연출,액션,0.5377380847930908,4
영화,만화,0.7536719441413879,94
영화감독,다큐멘터리,0.5571942329406738,1
영화관,드라마,0.5831791758537292,2
예고편,드라마,0.5787103772163391,2
왜곡,충격,0.5578368902206421,3
외면,고통,0.6066063046455383,1
욕망,욕망,1,1
웃음,개그,0.6434062123298645,1
워크,정글,0.5607126355171204,1
원동력,성장,0.5375443696975708,1
음향,음악,0.6697120070457458,1
의구심,불안,0.5729623436927795,1
이해,철학,0.5395932197570801,2
인물,정치,0.5848035216331482,9
인생사,자기성찰,0.5178114771842957,1
입학,학교,0.5971783399581909,2
자긍심,헌신,0.5794761776924133,2
자동차,전기,0.5792412161827087,2
자본주의,경제,0.5420032143592834,2
자연,환경,0.6941760182380676,2
작전,전투,0.6892815232276917,2
작정,기쁨,0.5546167492866516,1
장르,음악,0.7329081892967224,5
장면,액션,0.5999083518981934,1
장물아비,도둑,0.5801519155502319,2
재미,모험,0.6051297187805176,4
저하,상실,0.6493842601776123,1
전문,의료,0.6444779634475708,3
절도범,도둑,0.5533220767974854,4
접점,갈등,0.5179992914199829,1
정보,교통,0.6121577620506287,5
제작,방송,0.6307950615882874,3
제작사,드라마,0.522915244102478,1
제작진,드라마,0.5286853313446045,1
조각,인형,0.646467387676239,1
조절,저항,0.5050233602523804,1
조화,질서,0.6025887727737427,1
죄책감,죄책감,1,1
주소,여행,0.5693726539611816,1
죽음,고독,0.6896678805351257,2
줄거리,드라마,0.531794548034668,1
중계,방송,0.7659165263175964,2
증서,꿈,0.5657000541687012,1
지갑,도둑,0.5823359489440918,1
지옥,감옥,0.6124275922775269,1
직무,윤리,0.5708826184272766,1
집안,가족,0.6251765489578247,1
짝짓기,동물,0.5110672116279602,1
참여,기대,0.5516729950904846,1
채널,방송,0.7239679098129272,3
책임,윤리,0.6478115320205688,1
철도,교통,0.7055186629295349,2
체육,미술,0.7045322060585022,1
총독,군사,0.5308362245559692,1
추격전,추격,0.6167752146720886,1
추천,여행,0.5768113136291504,1
출연,방송,0.659591019153595,2
캐릭터,인형,0.5306801795959473,5
쾌감,기쁨,0.6326329112052917,1
통합,교육,0.6034629344940186,1
퇴장,폭력,0.5022277235984802,1
투입,추격,0.5248116850852966,2
투지,열정,0.6861758828163147,1
판국,액션,1,1
판단,의심,0.5710378289222717,1
패러디,코미디,0.5152478814125061,1
페달,전기,0.5104746222496033,1
포스트모더니즘,미술,0.5061778426170349,1
포토,동정,0.5201435089111328,1
폭탄,충격,0.65119469165802,1
표정,유쾌,0.5511194467544556,1
표현,대화,0.5644240975379944,1
합성,과학,0.5395565629005432,1
핸드헬드,액션,0.5639755725860596,1
행적,정치,0.5065699219703674,1
현장,교육,0.5853086113929749,1
혹평,분노,0.527694821357727,3
화면,액션,0.6001543998718262,3
확립,질서,0.5873796939849854,1
환경,환경,1,1
활동,교육,0.6086112856864929,1
활약,성장,0.5549848675727844,2
효과,기대,0.5692968964576721,3
훈련,교육,0.6947369575500488,1
휴가,여행,0.6868858933448792,1
희곡,미술,0.6216503977775574,1
희망,희망,1,4
희희낙락,코미디,0.6103501319885254,1
히든카드,언더독,0.5965774655342102,1

Category,Count,average
드라마,9,0.6061570114559598
액션,8,0.7436873689293861
기대,7,0.6126397677830288
갈등,7,0.5922381281852722
교육,6,0.6137462457021078
환경,5,0.7263983964920044
여행,5,0.6783541560173034
방송,5,0.6765350222587585
만화,5,0.6685717344284058
성장,5,0.6640705823898315
과학,5,0.6229387998580933
후회,5,0.5968211054801941
고통,4,0.7352863550186157
미술,4,0.6456504315137863
기쁨,4,0.6276600956916809
열정,4,0.6262126415967941
욕망,3,0.7434195280075073
음악,3,0.6812471350034078
전투,3,0.6499035159746805
경제,3,0.6438673337300619
헌신,3,0.6148927807807922
교통,3,0.614691158135732
인형,3,0.6059152682622274
질서,3,0.6035998264948527
음식,3,0.5828901727994283
철학,3,0.5774271686871847
도둑,3,0.5719366470972697
추격,3,0.5666601856549581
범죄,3,0.5594991246859232
대화,3,0.550933837890625
전기,3,0.5495630304018656
폭력,3,0.5286553899447123
심리,2,0.8794166445732117
개그,2,0.8217031061649323
감옥,2,0.8062137961387634
희망,2,0.79135462641716
스포츠,2,0.779548317193985
괴물,2,0.7604223191738129
유쾌,2,0.609507292509079
윤리,2,0.6093470752239227
충격,2,0.604515790939331
절망,2,0.6013423502445221
상처,2,0.5992018282413483
혼란,2,0.5970858633518219
독재,2,0.5921604931354523
의료,2,0.5751191675662994
군사,2,0.5720062255859375
분노,2,0.5706479847431183
꿈,2,0.5633538663387299
코미디,2,0.5627990067005157
불안,2,0.5584988594055176
정치,2,0.5456867218017578
발견,2,0.5318993031978607
동물,2,0.5146545469760895
동정,2,0.5105215013027191
고문,1,1.0
뮤지컬,1,1.0
죄책감,1,1.0
고독,1,0.6896678805351257
상실,1,0.6493842601776123
슬픔,1,0.6343626976013184
가족,1,0.6251765489578247
도박,1,0.624628484249115
용기,1,0.6211519241333008
신화,1,0.6202012896537781
우주,1,0.619330644607544
음모,1,0.6178366541862488
시골,1,0.6134941577911377
도시,1,0.6078121066093445
모험,1,0.6051297187805176
학교,1,0.5971783399581909
생존,1,0.5969371199607849
언더독,1,0.5965774655342102
용서,1,0.5769292116165161
의심,1,0.5710378289222717
정글,1,0.5607126355171204
다큐멘터리,1,0.5571942329406738
재난,1,0.5403636693954468
설원,1,0.5400566458702087
사회문제,1,0.5382509231567383
사랑,1,0.5380519032478333
배신,1,0.5301685929298401
자기성찰,1,0.5178114771842957
자존심,1,0.5142337679862976
가상현실,1,0.5079087615013123
저항,1,0.5050233602523804
