Word,Category,Similarity,Frequency
~첫,액션,1,1
가게,여행,0.5113754868507385,5
가수,음악,0.6117961406707764,39
가슴,상처,0.6098507642745972,3
가식,열정,0.5882983207702637,1
가요,음악,0.6719156503677368,2
가요사,음악,0.5316641926765442,1
가족,가족,1,10
가출,살인,0.6332151889801025,2
가치,윤리,0.6346501111984253,3
갈등,갈등,1,3
갈망,욕망,0.7525596022605896,1
감동,기쁨,0.6450744271278381,20
감상,음악,0.6411212086677551,6
감성,심리,0.6301533579826355,4
감정,심리,0.7588332891464233,8
개념,교육,0.6287856698036194,1
개봉작,드라마,0.5794780254364014,1
객기,배신,0.5398898124694824,2
거리,도시,0.60332190990448,3
거짓말,부도덕,0.5334540605545044,3
검색,여행,0.6249870657920837,3
게임,만화,0.7299426198005676,1
결별,이별,0.5961124300956726,1
경고,의심,0.5979491472244263,1
경험,열정,0.6344258189201355,4
계획,여행,0.6060113906860352,1
고등,과학,0.6939653754234314,1
고령,가족,0.5334233045578003,1
고마움,기쁨,0.5609286427497864,1
고별,이별,0.5539909601211548,1
고생,고통,0.5584161281585693,1
고심,기대,0.5159546732902527,1
고퀄,개그,0.5942316055297852,1
공동,대화,0.5171006321907043,3
공연,음악,0.7031762599945068,2
공중파,방송,0.727179229259491,1
과정,교육,0.6268183588981628,2
관람,여행,0.5587009191513062,10
관심,기대,0.6249675154685974,2
괴리,갈등,0.6599999666213989,2
교외,도시,0.6819154620170593,1
구석,철학,0.5159526467323303,1
구치소,감옥,0.5653419494628906,1
국가,경제,0.7089344263076782,3
국밥,음식,0.6229456067085266,2
궁핍,고통,0.685816764831543,1
균형,질서,0.6706463098526001,1
극도,괴담,0.5402888059616089,1
극복,고통,0.6304678916931152,1
기분,유쾌,0.6678951382637024,4
기억,사랑,0.6537694931030273,3
기타,음악,0.5873071551322937,2
기획,교육,0.625312864780426,1
김밥,음식,0.6216344833374023,6
깔뷰,액션,1,1
깨알,개그,0.5848792195320129,1
나날,이별,0.6136053204536438,1
나태,분노,0.6480523943901062,1
남자,사랑,0.5456969141960144,4
냄새,음식,0.5817655324935913,2
노고,희생,0.6270607709884644,1
노래,춤,0.7242721915245056,21
노력,헌신,0.6555296182632446,5
눈물,슬픔,0.6957001090049744,11
느낌,슬픔,0.6343626976013184,4
다방,유령,0.5601125955581665,18
답변,의심,0.5017156600952148,1
댓글,후회,0.505795419216156,1
더위,질병,0.5179445147514343,1
데뷔,방송,0.5465471744537354,2
도움,기대,0.5482439994812012,2
독서,철학,0.7120826244354248,1
독특,춤,0.5334261655807495,1
동반,가족,0.6541745662689209,1
드라마,드라마,1,13
등록,여행,0.5735748410224915,2
라디오,드라마,0.6265520453453064,151
로맨스,로맨스,1,1
리메이크,드라마,0.5311616063117981,1
마약,범죄,0.71501225233078,3
마음,기쁨,0.6783162951469421,24
마찰,갈등,0.6304974555969238,1
만화,만화,1,1
매력,열정,0.6489761471748352,7
메시지,대화,0.5048822164535522,2
멘트,개그,0.5644389390945435,2
명곡,사랑,0.5801110863685608,6
명작,만화,0.6867616772651672,2
명장면,코미디,0.5314233899116516,2
모바일,컴퓨터,0.590937614440918,1
모습,꿈,0.5368646383285522,13
몰두,열정,0.5224281549453735,1
몰락,멸망,0.6989313364028931,3
몰입,열정,0.6674494743347168,1
무마,폭력,0.5678592324256897,1
물가,경제,0.6279429197311401,1
미안,후회,0.5432184934616089,1
바늘,동물,0.5620018839836121,1
반사,마법,0.5487768650054932,3
반추,동물,0.5551092624664307,1
발굴,발견,0.5881547927856445,1
발길,추격,0.5241652727127075,1
발매,방송,0.5153555870056152,1
발목,상처,0.5137267112731934,1
방도,가족,0.5709173679351807,1
방문,여행,0.5841829180717468,2
방송국,방송,0.6448954939842224,37
방송사,방송,0.5945383906364441,1
방영,방송,0.7201281189918518,1
배달,음식,0.6220709681510925,7
밴드,음악,0.5989826321601868,9
버디,액션,0.6008520722389221,1
버스,교통,0.730898916721344,4
변화,성장,0.7235260605812073,3
별일,후회,0.5252277255058289,1
보석금,법정,0.5246373414993286,1
보컬,음악,0.6214209198951721,1
복면,도둑,0.6030786633491516,1
부리,모험,0.5075094103813171,1
부모,가족,0.6875284910202026,1
부스,인형,0.5842044353485107,4
분석,교육,0.5877142548561096,1
불능,상실,0.685398519039154,1
불륜,연애,0.7070099711418152,3
불만,분노,0.6757481098175049,2
불평불만,죄책감,0.5750088095664978,1
불화,갈등,0.6598528623580933,1
빗속,춤,0.5444942116737366,3
사건,살인,0.7159186005592346,11
사고,의심,0.5630502700805664,6
사고뭉치,외계인,0.5241761207580566,1
사람,꿈,0.5610076785087585,37
사랑,사랑,1,15
