Word,Category,Similarity,Frequency
가슴,상처,0.6098507642745972,1
감상,음악,0.6411212086677551,4
감옥,감옥,1,1
감정,심리,0.7588332891464233,4
강간,범죄,0.732934832572937,1
개념,교육,0.6287856698036194,1
개봉작,드라마,0.5794780254364014,1
개입,음모,0.5886576175689697,1
거리,도시,0.60332190990448,1
거지,도둑,0.6057764291763306,1
고딩,학교,0.5499685406684875,2
곡성,좀비,0.5742064714431763,2
공부,교육,0.6627280712127686,1
공연,음악,0.7031762599945068,1
관람,여행,0.5587009191513062,3
관심,기대,0.6249675154685974,1
광고,방송,0.6559303998947144,1
괴롭힘,죄책감,0.5694694519042969,1
교통사고,재난,0.5448524355888367,1
구김,상처,0.5863630175590515,1
구멍,상처,0.5373755693435669,1
국가,경제,0.7089344263076782,1
귀국,여행,0.5005411505699158,1
그림자,유령,0.5297560691833496,1
극본,미술,0.5002976655960083,1
기대,기대,1,1
기대감,기대,0.6246221661567688,2
기생충,흡혈귀,0.5087416172027588,1
나락,절망,0.5650247931480408,1
난무,괴담,0.5966172814369202,1
남자,사랑,0.5456969141960144,4
남친,연애,0.6194848418235779,3
납치,살인,0.6689104437828064,1
농간,갈등,0.6519246697425842,1
느낌,슬픔,0.6343626976013184,6
능력,교육,0.6137364506721497,1
다짐,열정,0.6131012439727783,1
데뷔,방송,0.5465471744537354,1
도덕,윤리,0.8225712776184082,1
둘이,가족,0.5058346390724182,1
로리타,만화,0.5133978128433228,1
리그,경제,0.5679942965507507,1
마음,기쁨,0.6783162951469421,4
막말,정치,0.6014217138290405,1
만취,유쾌,0.5408493876457214,1
먹거리,음식,0.5923094749450684,1
메타포,철학,0.5080273747444153,2
며느리,드라마,0.515521764755249,4
모독,분노,0.6484084725379944,1
모습,꿈,0.5368646383285522,6
무릎,상처,0.5319340229034424,1
문제,갈등,0.6495088934898376,3
미스테리,미스터리,0.7573594450950623,1
미안,후회,0.5432184934616089,1
미흡,기대,0.5619783997535706,1
민낯,충격,0.5121684670448303,1
반감,분노,0.6136011481285095,1
발견,발견,1,1
발언,대화,0.537577211856842,1
발전,성장,0.7311267852783203,1
방향,미래,0.5546501278877258,1
버닝,액션,0.6143179535865784,1
범죄,범죄,1,1
병신,괴물,0.6002769470214844,2
보호,환경,0.6321627497673035,1
부쉼,액션,1,1
불만,분노,0.6757481098175049,1
비위,고문,0.5252611637115479,1
비참,고독,0.6815916895866394,1
뺑소니,살인,0.5275437831878662,2
사고,의심,0.5630502700805664,2
사람,꿈,0.5610076785087585,20
사랑,사랑,1,1
사이코,스릴러,0.5595394968986511,1
사이코패스,정신병,0.6299716830253601,3
사회,경제,0.8096231818199158,6
살인,살인,1,4
색감,미술,0.5213123559951782,1
색채,미술,0.6537377238273621,1
생각,후회,0.6602693200111389,11
생활,환경,0.7009555697441101,1
선거,정치,0.6827003955841064,2
선택,희망,0.5827092528343201,2
설교,교육,0.583648145198822,1
설움,슬픔,0.6372766494750977,1
성공,성장,0.6859850287437439,2
성인,교육,0.5841577649116516,1
세상,기쁨,0.6082786321640015,2
소원,사랑,0.6399070620536804,2
손익,경제,0.5327790975570679,1
스릴러,스릴러,1,7
스캔들,로맨스,0.5457527041435242,1
스틸,액션,0.5995299220085144,1
슬픔,슬픔,1,2
시계,미술,0.6200137138366699,1
시신,수색,0.6265639066696167,1
시작,발견,0.534450113773346,3
시체,살인,0.6126627326011658,1
식당,음식,0.6759225726127625,1
실감,기대,0.5343434810638428,1
실패,후회,0.6084508299827576,1
심정,슬픔,0.5811508297920227,1
쌈박,액션,1,1
아내,가족,0.582758903503418,4
아들,가족,0.5667959451675415,15
아이돌,드라마,0.5358486175537109,1
아트,미술,0.6990192532539368,1
약점,배신,0.5301685929298401,1
약혼,연애,0.619663655757904,1
어필,열정,0.5022490620613098,1
여자,사랑,0.5380519032478333,6
여파,혼란,0.6998805403709412,1
여행,여행,1,2
연출,액션,0.5377380847930908,2
연출력,액션,0.515964686870575,1
열등감,죄책감,0.6662242412567139,3
영화,만화,0.7536719441413879,69
예고편,드라마,0.5787103772163391,2
오디션,뮤지컬,0.6122252941131592,2
욕망,욕망,1,1
운운,의심,0.5061776638031006,1
웃음,개그,0.6434062123298645,1
원망,절망,0.6686849594116211,1
원자력,과학,0.5273252129554749,1
은폐,범죄,0.6886423230171204,2
음주,음식,0.6057179570198059,1
의심,의심,1,2
이기심,무력감,0.6152219772338867,1
이득,배신,0.5013233423233032,1
이름,신화,0.5608668327331543,2
이해,철학,0.5395932197570801,10
이해력,자기성찰,0.5410407781600952,1
인물,정치,0.5848035216331482,2
임신,질병,0.5124660134315491,2
자막,방송,0.6141181588172913,3
자백,범죄,0.5797169804573059,2
자위,액션,0.563194990158081,1
자존,열정,0.5927736163139343,1
자존감,자기성찰,0.5486114025115967,3
자존심,자존심,1,1
잡탕,개그,0.5417220592498779,1
장르,음악,0.7329081892967224,3
장면,액션,0.5999083518981934,2
장애,질병,0.7015629410743713,1
재미,모험,0.6051297187805176,2
적응,환경,0.6063060760498047,1
정보,교통,0.6121577620506287,3
정취,기쁨,0.5700288414955139,1
조폭,범죄,0.6374698281288147,1
조현병,정신병,0.669366717338562,1
죽음,고독,0.6896678805351257,1
줄거리,드라마,0.531794548034668,6
줄타기,춤,0.5832825899124146,1
증거,발견,0.5749884247779846,1
질투,욕망,0.6958162188529968,1
짐승,괴물,0.678253173828125,3
집착,욕망,0.6720618605613708,1
찌질,개그,0.6416961550712585,2
챙피,액션,1,1
처녀,꿈,0.5849674940109253,1
처절,의리,0.5655478239059448,1
청춘,사랑,0.612774670124054,1
추억,사랑,0.6609922647476196,1
추천,여행,0.5768113136291504,3
출연,방송,0.659591019153595,1
충격,충격,1,3
치정,살인,0.6317488551139832,1
카페,유령,0.5409449934959412,1
캐릭터,인형,0.5306801795959473,2
캔디,정글,0.5941967964172363,1
커피,음식,0.710979700088501,1
퀸카,의리,0.5979611277580261,1
타락,혼란,0.6639453172683716,1
택시,교통,0.6628926396369934,2
투입,추격,0.5248116850852966,1
특유,춤,0.5365961194038391,1
파국,혼란,0.6406258940696716,1
파악,발견,0.628048837184906,1
평론가,다큐멘터리,0.5252968668937683,1
평범,유쾌,0.6256139874458313,1
폐지,방송,0.545218288898468,1
학생,학교,0.7100017070770264,8
학창,만화,0.580868124961853,5
해석,심리,0.5405862331390381,3
행방,상실,0.5371095538139343,1
행위,폭력,0.6302486658096313,1
현대,미술,0.6356669068336487,1
형사,탐정,0.7352063655853271,1
호구,의리,0.5353814363479614,1
혹평,분노,0.527694821357727,2
혼란,혼란,1,1
화상,의료,0.6069163680076599,2
확인,발견,0.6419516205787659,1
회의,대화,0.5878562331199646,1
후회,후회,1,2

Category,Count,average
액션,9,0.7145171099238925
사랑,6,0.6662371357282003
미술,6,0.605007936557134
범죄,5,0.7277527928352356
살인,5,0.6881731629371644
발견,5,0.6758877992630005
기대,5,0.6691823124885559
교육,5,0.6146112203598022
방송,5,0.6042810082435608
드라마,5,0.5482706665992737
혼란,4,0.7511129379272461
슬픔,4,0.7131975442171097
후회,4,0.7029846608638763
여행,4,0.6590133458375931
경제,4,0.6548327505588531
음식,4,0.6462324261665344
분노,4,0.616363137960434
상처,4,0.5663808435201645
욕망,3,0.7892926931381226
음악,3,0.6924018859863281
의심,3,0.689742644627889
환경,3,0.6464747985204061
정치,3,0.622975210348765
기쁨,3,0.6188745896021525
만화,3,0.6159792939821879
개그,3,0.6089414755503336
열정,3,0.5693746407826742
의리,3,0.5662967960039774
꿈,3,0.5609466036160787
가족,3,0.5517964959144592
스릴러,2,0.7797697484493256
