Word,Category,Similarity,Frequency
가게,여행,0.5113754868507385,2
감정,심리,0.7588332891464233,1
개막작,뮤지컬,0.6037431359291077,2
개입,음모,0.5886576175689697,1
개체,동물,0.595451831817627,1
검색,여행,0.6249870657920837,1
경고,의심,0.5979491472244263,2
경험,열정,0.6344258189201355,2
계획,여행,0.6060113906860352,1
고의,범죄,0.5445482730865479,2
공룡,동물,0.6991666555404663,2
과실,살인,0.5696340799331665,1
과학,과학,1,1
관람,여행,0.5587009191513062,2
관심,기대,0.6249675154685974,2
국가,경제,0.7089344263076782,1
균형,질서,0.6706463098526001,1
극도,괴담,0.5402888059616089,1
기쁨,기쁨,1,1
기술,농업,0.6986809968948364,1
기억,사랑,0.6537694931030273,1
노력,헌신,0.6555296182632446,3
녹음기,컴퓨터,0.590388298034668,1
뉴스,방송,0.70646071434021,1
다큐멘터리,다큐멘터리,1,2
단계,성장,0.6726707220077515,2
당근,도둑,0.5249003767967224,1
대답,후회,0.5436964631080627,1
대중교통,교통,0.7340587973594666,1
도시,도시,1,3
동물,동물,1,21
동반,가족,0.6541745662689209,1
동식물,동물,0.6038475036621094,2
드라마,드라마,1,3
렌즈,용기,0.5198469161987305,1
마음,기쁨,0.6783162951469421,1
망막,의료,0.5228244066238403,1
멸종,동물,0.6045740246772766,10
모니터,컴퓨터,0.5649773478507996,2
모습,꿈,0.5368646383285522,3
모험,모험,1,1
몰두,열정,0.5224281549453735,1
물가,경제,0.6279429197311401,1
물고기,외계인,0.5886794924736023,2
미래,미래,1,7
바다,바다,1,1
바이러스,질병,0.5053297281265259,1
발견,발견,1,1
발달,성장,0.7021803855895996,1
발전,성장,0.7311267852783203,1
방관자,배신,0.5012463927268982,2
방향,미래,0.5546501278877258,1
범죄,범죄,1,1
변화,성장,0.7235260605812073,5
보도,방송,0.6695681214332581,1
부동산,경제,0.5007047057151794,1
분리,갈등,0.5047985911369324,2
분통,분노,0.5459387302398682,1
붕괴,혼란,0.6892794370651245,1
비디오,컴퓨터,0.6554548740386963,1
빈곤,질병,0.6973947882652283,1
사람,꿈,0.5610076785087585,8
사진,미술,0.5546669960021973,2
상실,상실,1,2
상영,방송,0.6350025534629822,1
생각,후회,0.6602693200111389,3
생명체,동물,0.5420880317687988,3
생물,동물,0.7907639741897583,1
생활,환경,0.7009555697441101,1
설득,대화,0.5834951996803284,1
설치,교육,0.5344357490539551,1
소비,경제,0.6587632894515991,1
수거,수색,0.5721549391746521,1
식물,동물,0.7853432297706604,1
애호가,음악,0.5525186657905579,1
어촌,시골,0.724385678768158,1
역사,철학,0.6869469285011292,1
영향,기대,0.5794242024421692,2
영화,만화,0.7536719441413879,17
오염,환경,0.6792325973510742,2
월척,설원,0.5198005437850952,3
위기,혼란,0.6975850462913513,1
위협,폭력,0.639009416103363,1
음반,음악,0.7087532877922058,3
이름,신화,0.5608668327331543,2
이슈,정치,0.619047224521637,1
인기,여행,0.6119158267974854,1
인물,정치,0.5848035216331482,1
인터넷,컴퓨터,0.609046220779419,1
자료,교육,0.5909054279327393,2
자연,환경,0.6941760182380676,4
자연환경,환경,0.5906069278717041,1
장르,음악,0.7329081892967224,2
재앙,혼란,0.6300399303436279,1
절망,절망,1,2
절약,환경,0.6258813738822937,1
정보,교통,0.6121577620506287,1
제작,방송,0.6307950615882874,1
조작,범죄,0.5801150798797607,1
줄거리,드라마,0.531794548034668,2
증거,발견,0.5749884247779846,1
증후군,정신병,0.5902600884437561,2
지구,우주,0.7121323943138123,8
지능,과학,0.6590995788574219,1
지속,성장,0.6684333086013794,1
진정,기쁨,0.5493860840797424,1
질문,대화,0.5432519912719727,2
질책,분노,0.5834819078445435,1
참혹,희생,0.5841884016990662,1
채찍,도둑,0.5977950096130371,1
촬영,방송,0.6484997272491455,1
추세,성장,0.6160025596618652,1
출연,방송,0.659591019153595,1
침체,불안,0.7115039825439453,1
컴퓨터,컴퓨터,1,2
표정,유쾌,0.5511194467544556,1
풀벌레,바다,0.5564108490943909,1
해킹,범죄,0.684302806854248,1
허공,바다,0.582145631313324,1
현대,미술,0.6356669068336487,1
화면,액션,0.6001543998718262,2
환경,환경,1,8
희망,희망,1,3

Category,Count,average
동물,8,0.7026544064283371
환경,6,0.7151420811812083
성장,6,0.6856566369533539
방송,6,0.6583195328712463
컴퓨터,5,0.6839733481407165
여행,5,0.5825981378555298
범죄,4,0.7022415399551392
경제,4,0.6240863353013992
기쁨,3,0.7425674597422282
바다,3,0.7128521601359049
혼란,3,0.6723014712333679
음악,3,0.664726714293162
과학,2,0.8295497894287109
발견,2,0.7874942123889923
미래,2,0.7773250639438629
드라마,2,0.765897274017334
교통,2,0.6731082797050476
기대,2,0.6021958589553833
후회,2,0.6019828915596008
정치,2,0.6019253730773926
질병,2,0.6013622581958771
미술,2,0.595166951417923
열정,2,0.5784269869327545
분노,2,0.5647103190422058
대화,2,0.5633735954761505
교육,2,0.5626705884933472
도둑,2,0.5613476932048798
꿈,2,0.5489361584186554
다큐멘터리,1,1.0
도시,1,1.0
모험,1,1.0
상실,1,1.0
절망,1,1.0
희망,1,1.0
심리,1,0.7588332891464233
만화,1,0.7536719441413879
시골,1,0.724385678768158
우주,1,0.7121323943138123
불안,1,0.7115039825439453
농업,1,0.6986809968948364
철학,1,0.6869469285011292
질서,1,0.6706463098526001
헌신,1,0.6555296182632446
가족,1,0.6541745662689209
사랑,1,0.6537694931030273
폭력,1,0.639009416103363
뮤지컬,1,0.6037431359291077
액션,1,0.6001543998718262
의심,1,0.5979491472244263
정신병,1,0.5902600884437561
외계인,1,0.5886794924736023
음모,1,0.5886576175689697
희생,1,0.5841884016990662
수색,1,0.5721549391746521
살인,1,0.5696340799331665
신화,1,0.5608668327331543
유쾌,1,0.5511194467544556
괴담,1,0.5402888059616089
의료,1,0.5228244066238403
용기,1,0.5198469161987305
설원,1,0.5198005437850952
갈등,1,0.5047985911369324
배신,1,0.5012463927268982
