Word,Category,Similarity,Frequency
1부,여행,0.5651364326477051,1
가난,고통,0.7040712237358093,1
가능,여행,0.6136982440948486,15
가변,액션,0.583943784236908,1
가수,음악,0.6117961406707764,1
가요,음악,0.6719156503677368,1
가족,가족,1,1
가치,윤리,0.6346501111984253,1
간섭,권력,0.5510541796684265,2
갈구,욕망,0.6502506136894226,1
감동,기쁨,0.6450744271278381,9
감상,음악,0.6411212086677551,7
감성,심리,0.6301533579826355,1
감옥,감옥,1,1
감정,심리,0.7588332891464233,12
감탄,열정,0.5392419099807739,4
감흥,슬픔,0.63573157787323,1
개요,여행,0.5623396039009094,2
거리,도시,0.60332190990448,10
거미,좀비,0.6427518129348755,1
거짓말,부도덕,0.5334540605545044,1
걱정,후회,0.651527464389801,3
검색,여행,0.6249870657920837,1
결제,여행,0.5954683423042297,3
결혼,연애,0.6863196492195129,3
경악,충격,0.724260687828064,1
경쟁,갈등,0.6576756238937378,1
경험,열정,0.6344258189201355,9
계단,괴담,0.5106033086776733,1
계획,여행,0.6060113906860352,1
고뇌,고독,0.6679061055183411,2
고등학교,학교,0.6346824765205383,1
고생,고통,0.5584161281585693,3
고소,고문,0.5505225658416748,1
고심,기대,0.5159546732902527,1
고전,미술,0.6437533497810364,6
고통,고통,1,1
고향,시골,0.6128569841384888,2
곡예,춤,0.6831771731376648,1
곤욕,고통,0.6120068430900574,1
곱추,도둑,0.5106236338615417,2
공연,음악,0.7031762599945068,127
공포증,두려움,0.6252716183662415,1
과정,교육,0.6268183588981628,3
관능미,유쾌,0.5247100591659546,1
관람,여행,0.5587009191513062,39
관심,기대,0.6249675154685974,2
관찰,발견,0.5781939625740051,1
관크,액션,1,1
광고,방송,0.6559303998947144,4
괴물,괴물,1,2
교감,대화,0.5680186152458191,1
구매,여행,0.5682201981544495,6
구박,고통,0.587178647518158,1
구역,도시,0.6346057057380676,15
구입,여행,0.5183897018432617,4
국어,과학,0.6368488669395447,1
군무,춤,0.6408714652061462,3
군인,군대,0.6802380084991455,2
군중,폭력,0.5979663729667664,1
굿즈,인형,0.614889919757843,1
권력,권력,1,3
그림자,유령,0.5297560691833496,2
극락,감옥,0.611230731010437,1
근위,군대,0.5422092080116272,4
근처,학교,0.5683311223983765,1
금지,도박,0.519909143447876,1
기계,전기,0.6900599598884583,3
기대,기대,1,9
기대감,기대,0.6246221661567688,2
기분,유쾌,0.6678951382637024,4
기술,농업,0.6986809968948364,2
기억,사랑,0.6537694931030273,10
기타,음악,0.5873071551322937,2
긴장,불안,0.6880083084106445,1
꼬마,도둑,0.5964561700820923,1
꼽추,도둑,0.5939256548881531,8
날씨,환경,0.6094790697097778,1
남자,사랑,0.5456969141960144,11
남편,가족,0.6233720779418945,8
납치,살인,0.6689104437828064,1
내면,내면,1,2
내역,여행,0.5270281434059143,1
너머,바다,0.5151404738426208,1
너모,유쾌,0.5391758680343628,1
넘버,액션,0.5979622006416321,30
노래,춤,0.7242721915245056,49
노랫,춤,0.588943362236023,1
노예,평등,0.6012166738510132,1
노인,가족,0.6170642375946045,1
녹음,음악,0.6460626721382141,1
농락,배신,0.5366092324256897,1
눈물,슬픔,0.6957001090049744,2
느낌,슬픔,0.6343626976013184,18
다릏,액션,1,1
다짐,열정,0.6131012439727783,1
단명,독재,0.582360029220581,1
당일,여행,0.5352691411972046,2
대여,여행,0.6416856050491333,6
대외,경제,0.6580508947372437,2
댄서,춤,0.6082887053489685,22
댄스,음악,0.7449625134468079,1
댓글,후회,0.505795419216156,2
더블,액션,0.5621997117996216,1
덤블링,춤,0.5478073358535767,1
데이트,로맨스,0.5355676412582397,3
도보,교통,0.5771064758300781,1
도시,도시,1,1
도움,기대,0.5482439994812012,2
도착,여행,0.6466491222381592,3
독서,철학,0.7120826244354248,1
독특,춤,0.5334261655807495,1
동영상,가상현실,0.5586168169975281,2
동작,춤,0.578336238861084,2
듀엣,사랑,0.5643150806427002,1
드라마,드라마,1,3
등록,여행,0.5735748410224915,3
라디오,드라마,0.6265520453453064,1
렌즈,용기,0.5198469161987305,1
리얼,액션,0.6809289455413818,1
마음,기쁨,0.6783162951469421,6
만족,기대,0.6570032238960266,5
맛집,음식,0.6337778568267822,2
매너,음식,0.54179447889328,1
매력,열정,0.6489761471748352,4
멜론,음악,0.5733300447463989,1
명단,동정,0.5356495976448059,1
명령,군사,0.5395892262458801,1
명작,만화,0.6867616772651672,4
