Word,Category,Similarity,Frequency
가늠,기대,0.5158867239952087,1
가능,여행,0.6136982440948486,3
가슴,상처,0.6098507642745972,2
가정,가족,0.7013463377952576,1
가족,가족,1,4
가치,윤리,0.6346501111984253,1
갈등,갈등,1,1
감상,음악,0.6411212086677551,3
감정,심리,0.7588332891464233,6
개봉작,드라마,0.5794780254364014,1
개요,여행,0.5623396039009094,1
개죽음,배신,0.5123383402824402,1
걱정,후회,0.651527464389801,2
검둥이,도둑,0.5217843651771545,3
검색,여행,0.6249870657920837,2
게임,만화,0.7299426198005676,2
격분,분노,0.5999071598052979,1
결혼,연애,0.6863196492195129,1
경멸,분노,0.6611237525939941,1
경험,열정,0.6344258189201355,3
계략,군사,0.6058172583580017,2
계절,이별,0.5606238842010498,1
계집,괴물,0.6054134368896484,1
계획,여행,0.6060113906860352,8
고급,음식,0.5831040740013123,1
고뇌,고독,0.6679061055183411,1
고속,교통,0.5951749682426453,1
고액,도박,0.504271388053894,1
공포감,무력감,0.6693056225776672,1
공포심,무력감,0.6654345393180847,1
과도,권력,0.5410835146903992,1
과정,교육,0.6268183588981628,2
관람,여행,0.5587009191513062,2
관심,기대,0.6249675154685974,10
관통,충격,0.5143977403640747,1
광고,방송,0.6559303998947144,1
괴담,괴담,1,1
구조,환경,0.6101574897766113,1
굿바이,드라마,0.5183427333831787,2
금지,도박,0.519909143447876,1
기대,기대,1,3
기분,유쾌,0.6678951382637024,1
기생충,흡혈귀,0.5087416172027588,1
기억,사랑,0.6537694931030273,2
꼬리,동물,0.517152726650238,1
낙인,충격,0.5184834003448486,1
날씨,환경,0.6094790697097778,1
남자,사랑,0.5456969141960144,1
남편,가족,0.6233720779418945,1
납치,살인,0.6689104437828064,2
낭비,혼란,0.5356693863868713,1
내면,내면,1,1
노래,춤,0.7242721915245056,1
노력,헌신,0.6555296182632446,1
노예,평등,0.6012166738510132,31
농장,농업,0.6616603136062622,3
누나,가족,0.5465071797370911,1
눈물,슬픔,0.6957001090049744,4
눈알,인형,0.6169314980506897,1
뉴스,방송,0.70646071434021,1
느낌,슬픔,0.6343626976013184,2
다짐,열정,0.6131012439727783,2
달타냥,도둑,0.5800089240074158,1
담배,음식,0.6096588969230652,1
당국,군사,0.5687816739082336,1
대결,갈등,0.5924415588378906,1
데뷔,방송,0.5465471744537354,1
데스,액션,0.6484018564224243,1
도달,발견,0.5293484926223755,1
도로,교통,0.7222923040390015,1
도망,도둑,0.5489647388458252,2
도시,도시,1,1
도움,기대,0.5482439994812012,4
두려움,두려움,1,2
드라마,드라마,1,2
등골,개그,0.5085983276367188,1
등짝,도둑,0.5372259020805359,1
랜드,정글,0.6163651943206787,14
로맨스,로맨스,1,3
로맨티스트,로맨스,0.5782933235168457,1
리메이크,드라마,0.5311616063117981,1
마음,기쁨,0.6783162951469421,3
만딩,액션,1,1
만족,기대,0.6570032238960266,2
맛깔,유쾌,0.537874162197113,1
망치,도둑,0.6530934572219849,1
맞닥,액션,1,1
매력,열정,0.6489761471748352,1
매매,도박,0.5757066011428833,6
매치,액션,0.5586719512939453,1
면모,자아,0.5388920903205872,1
명령,군사,0.5395892262458801,2
모습,꿈,0.5368646383285522,5
모양,인형,0.6405982375144958,1
몰입,열정,0.6674494743347168,3
묘미,개그,0.5619542598724365,1
무력감,무력감,1,1
무릎,상처,0.5319340229034424,1
무법자,괴물,0.5619667768478394,3
문제,갈등,0.6495088934898376,4
물건,인형,0.6116355657577515,2
미안,후회,0.5432184934616089,1
바지,학교,0.5488675236701965,1
반발심,죄책감,0.5733350515365601,1
발견,발견,1,2
발동,전투,0.5676375031471252,1
범죄자,범죄,0.5728323459625244,2
보안관,스릴러,0.5079545378684998,3
보증,의료,0.5057603716850281,1
복종,저항,0.6003823280334473,1
본능,욕망,0.7253124713897705,2
부녀,가족,0.6044618487358093,1
부류,자아,0.5049813389778137,1
분노,분노,1,3
불법,범죄,0.6486050486564636,2
불사,종교,0.512650728225708,1
비극,살인,0.6638696789741516,1
사건,살인,0.7159186005592346,2
사격,군사,0.6131762266159058,1
사냥,전투,0.6896240711212158,5
사냥개,유령,0.5520978569984436,2
사람,꿈,0.5610076785087585,23
사랑,사랑,1,6
사슬,도둑,0.504044234752655,1
사운드,음악,0.5262696146965027,1
사진,미술,0.5546669960021973,2
사회,경제,0.8096231818199158,4
살인,살인,1,3
살해,살인,0.6861730217933655,2
삼총사,뮤지컬,0.554417610168457,1
