Word,Category,Similarity,Frequency
가게,여행,0.5113754868507385,3
가족,가족,1,6
가치,윤리,0.6346501111984253,2
감동,기쁨,0.6450744271278381,4
감상,음악,0.6411212086677551,3
감정,심리,0.7588332891464233,1
개성,자아,0.5115846395492554,1
격려,동정,0.5737254619598389,1
결혼,연애,0.6863196492195129,3
경험,열정,0.6344258189201355,1
고객,가족,0.5992609262466431,1
골드,정글,0.5455614924430847,1
공연,음악,0.7031762599945068,4
공포,공포,1,4
관심,기대,0.6249675154685974,1
광고,방송,0.6559303998947144,1
교육,교육,1,1
교훈,희망,0.596325695514679,1
극복,고통,0.6304678916931152,1
극장판,드라마,0.5479550361633301,1
극지방,해양,0.5954555869102478,1
기대,기대,1,2
기분,유쾌,0.6678951382637024,1
기획,교육,0.625312864780426,1
긴장,불안,0.6880083084106445,1
노력,헌신,0.6555296182632446,2
농장,농업,0.6616603136062622,2
느낌,슬픔,0.6343626976013184,1
다큐,다큐멘터리,0.6907773613929749,1
다큐멘터리,다큐멘터리,1,2
단속,범죄,0.5896289348602295,1
단편,만화,0.737099826335907,13
달밤,고독,0.5970069766044617,1
대립,갈등,0.8246769905090332,1
대중문화,드라마,0.5819228887557983,1
대학교,학교,0.5889599323272705,1
댓글,후회,0.505795419216156,1
도둑,도둑,1,1
도전,열정,0.6956499814987183,1
돌담,바다,0.5320759415626526,1
동물,동물,1,5
드라마,드라마,1,4
디지털,컴퓨터,0.6325473189353943,1
로맨스,로맨스,1,1
마법,마법,1,1
마약,범죄,0.71501225233078,5
마음,기쁨,0.6783162951469421,3
매력,열정,0.6489761471748352,3
메뉴,음식,0.674547016620636,1
메시지,대화,0.5048822164535522,3
모습,꿈,0.5368646383285522,2
모험,모험,1,2
몰입,열정,0.6674494743347168,1
미래,미래,1,1
미스테리,미스터리,0.7573594450950623,1
밀수,범죄,0.6525008082389832,2
바다,바다,1,1
바이러스,질병,0.5053297281265259,2
배신,배신,1,1
배틀,전투,0.6447144746780396,1
뱀파이어,흡혈귀,0.6941889524459839,1
버거,음식,0.5228381752967834,1
벌레,동물,0.6886223554611206,1
법칙,철학,0.6116989850997925,1
변종,좀비,0.6061926484107971,1
보이,정글,0.5561686158180237,1
부느,액션,1,1
분노,분노,1,1
분야,과학,0.6800429821014404,1
불안,불안,1,1
비자,의료,0.5633268356323242,1
사건,살인,0.7159186005592346,1
사고,의심,0.5630502700805664,1
사냥,전투,0.6896240711212158,1
사람,꿈,0.5610076785087585,3
사랑,사랑,1,10
사막,정글,0.6484219431877136,1
사표,도둑,0.5221258401870728,1
상어,동물,0.6303016543388367,1
상황,혼란,0.6442916989326477,1
생각,후회,0.6602693200111389,3
성공,성장,0.6859850287437439,2
성장,성장,1,1
섹스,만화,0.6615440249443054,1
소자,동정,0.5149030089378357,1
소통,대화,0.694833517074585,1
스릴러,스릴러,1,1
스트레스,무력감,0.6226179003715515,14
시리즈,만화,0.5106303691864014,1
시작,발견,0.534450113773346,2
시청,방송,0.6024045944213867,1
시청자,방송,0.5191292762756348,4
시티,여행,0.6037575602531433,1
시험,교육,0.6255394220352173,1
신경,질병,0.5199351906776428,1
신문,방송,0.6771079897880554,1
실패,후회,0.6084508299827576,1
심리,심리,1,1
쓰리,액션,0.5244254469871521,1
아내,가족,0.582758903503418,1
아들,가족,0.5667959451675415,1
악화,혼란,0.6455839276313782,1
안내,여행,0.6065822839736938,1
압류,도박,0.5081636309623718,1
압박,충격,0.5949738621711731,1
애니메이션,만화,0.68199223279953,7
액션,액션,1,6
앨범,음악,0.6174340844154358,1
언더,정글,0.577765941619873,1
얼음,바다,0.6190788745880127,1
엄마,사랑,0.5908297300338745,1
여자,사랑,0.5380519032478333,1
여행,여행,1,4
연인,사랑,0.6981024742126465,1
영혼,슬픔,0.7210677266120911,1
영화,만화,0.7536719441413879,50
예상,기대,0.655988872051239,1
오디션,뮤지컬,0.6122252941131592,1
온난,해양,0.5716701745986938,1
용기,용기,1,4
운세,연애,0.5606837272644043,1
유머,개그,0.6961884498596191,1
음악,음악,1,2
일상,유쾌,0.5978867411613464,2
일지,여행,0.5412269830703735,1
자료,교육,0.5909054279327393,1
자막,방송,0.6141181588172913,1
자연,환경,0.6941760182380676,3
장면,액션,0.5999083518981934,2
장소,여행,0.6031988263130188,1
재치,유쾌,0.5271227359771729,1
전사,전투,0.5905117392539978,1
정보,교통,0.6121577620506287,1
정신병원,정신병,0.5938902497291565,1
정크,좀비,0.512030303478241,1
제공,여행,0.6024255156517029,1
제한,상실,0.636760413646698,1
조화,질서,0.6025887727737427,1
좀비,좀비,1,1
주말,여행,0.5565044283866882,2
주요,도시,0.5643994808197021,1
줄거리,드라마,0.531794548034668,2
중독,폭력,0.650359034538269,1
즐거움,기쁨,0.6185970902442932,2
지구,우주,0.7121323943138123,2
지하실,감옥,0.6286341547966003,1
짝사랑,연애,0.6175044178962708,1
참여,기대,0.5516729950904846,1
천애,시골,0.5640205144882202,1
청춘,사랑,0.612774670124054,3
추천,여행,0.5768113136291504,3
축제,춤,0.6026461720466614,1
치료,질병,0.7063292264938354,1
치료약,질병,0.5372917652130127,1
캐릭터,인형,0.5306801795959473,4
커플,가족,0.6512839198112488,3
컨텐츠,가상현실,0.517380952835083,1
코미디,코미디,1,4
코알라,정글,0.5225541591644287,25
키보드,컴퓨터,0.5655710101127625,1
킬러,괴물,0.6982237100601196,1
탄생,신화,0.5951989889144897,1
탈츨,액션,1,1
탐정,탐정,1,1
투지,열정,0.6861758828163147,1
파란만장,드라마,0.5193033218383789,1
판타지,판타지,1,1
폐쇄,수색,0.5324417948722839,1
표현,대화,0.5644240975379944,1
해석,심리,0.5405862331390381,1
행복,기쁨,0.7726561427116394,3
협상,갈등,0.628656268119812,1
확인,발견,0.6419516205787659,2
환경,환경,1,1
회의,대화,0.5878562331199646,1
횡령,살인,0.6143051385879517,1
효과,기대,0.5692968964576721,1
후궁,가족,0.6147741675376892,1
희망,희망,1,3

Category,Count,average
여행,9,0.6224313775698344
가족,6,0.6691456437110901
액션,5,0.8248667597770691
사랑,5,0.6879517555236816
기대,5,0.6803852558135987
만화,5,0.6689876794815064
열정,5,0.6665354609489441
드라마,5,0.636195158958435
방송,5,0.6137380838394165
정글,5,0.5700944304466248
음악,4,0.7404328882694244
교육,4,0.7104394286870956
기쁨,4,0.6786609888076782
대화,4,0.587999016046524
질병,4,0.5672214776277542
동물,3,0.7729746699333191
심리,3,0.7664731740951538
바다,3,0.7170516053835551
좀비,3,0.7060743172963461
범죄,3,0.6523806651433309
전투,3,0.6416167616844177
연애,3,0.6215025981267294
유쾌,3,0.5976348718007406
후회,3,0.5915051897366842
환경,2,0.8470880091190338
다큐멘터리,2,0.8453886806964874
불안,2,0.8440041542053223
성장,2,0.842992514371872
희망,2,0.7981628477573395
도둑,2,0.7610629200935364
갈등,2,0.7266666293144226
슬픔,2,0.6777152121067047
살인,2,0.6651118695735931
혼란,2,0.6449378132820129
컴퓨터,2,0.5990591645240784
음식,2,0.5986925959587097
발견,2,0.5882008671760559
해양,2,0.5835628807544708
꿈,2,0.5489361584186554
동정,2,0.5443142354488373
공포,1,1.0
로맨스,1,1.0
마법,1,1.0
모험,1,1.0
미래,1,1.0
배신,1,1.0
분노,1,1.0
스릴러,1,1.0
용기,1,1.0
코미디,1,1.0
탐정,1,1.0
판타지,1,1.0
미스터리,1,0.7573594450950623
우주,1,0.7121323943138123
괴물,1,0.6982237100601196
개그,1,0.6961884498596191
흡혈귀,1,0.6941889524459839
과학,1,0.6800429821014404
농업,1,0.6616603136062622
헌신,1,0.6555296182632446
폭력,1,0.650359034538269
상실,1,0.636760413646698
윤리,1,0.6346501111984253
고통,1,0.6304678916931152
감옥,1,0.6286341547966003
무력감,1,0.6226179003715515
뮤지컬,1,0.6122252941131592
교통,1,0.6121577620506287
철학,1,0.6116989850997925
춤,1,0.6026461720466614
질서,1,0.6025887727737427
고독,1,0.5970069766044617
신화,1,0.5951989889144897
충격,1,0.5949738621711731
정신병,1,0.5938902497291565
학교,1,0.5889599323272705
도시,1,0.5643994808197021
시골,1,0.5640205144882202
의료,1,0.5633268356323242
의심,1,0.5630502700805664
수색,1,0.5324417948722839
인형,1,0.5306801795959473
가상현실,1,0.517380952835083
자아,1,0.5115846395492554
도박,1,0.5081636309623718
