Word,Category,Similarity,Frequency
가슴,상처,0.6098507642745972,5
가정,가족,0.7013463377952576,1
가족,가족,1,3
감동,기쁨,0.6450744271278381,24
감상,음악,0.6411212086677551,3
감정,심리,0.7588332891464233,4
강점,성장,0.5418332815170288,1
거리,도시,0.60332190990448,1
거짓,범죄,0.5651490092277527,1
걱정,후회,0.651527464389801,1
건설,도시,0.6078121066093445,3
검색,여행,0.6249870657920837,1
게임,만화,0.7299426198005676,1
결혼,연애,0.6863196492195129,4
겸임,고문,0.5054988861083984,1
경제,경제,1,1
경험,열정,0.6344258189201355,4
계획,여행,0.6060113906860352,5
고뇌,고독,0.6679061055183411,1
고등학교,학교,0.6346824765205383,3
고령,가족,0.5334233045578003,1
고무,전기,0.5589732527732849,1
고생,고통,0.5584161281585693,1
고참,군대,0.5476983785629272,2
고통,고통,1,3
고향,시골,0.6128569841384888,1
공격,전투,0.6404148936271667,6
공군,군대,0.6319987773895264,34
공로,헌신,0.6110802292823792,1
공저,철학,0.5334717035293579,1
공조,액션,0.5622533559799194,1
과정,교육,0.6268183588981628,5
관람,여행,0.5587009191513062,1
관료,권력,0.6477829217910767,1
관심,기대,0.6249675154685974,3
교수,윤리,0.563416063785553,2
교훈,희망,0.596325695514679,2
구급,의료,0.6672831177711487,1
구조,환경,0.6101574897766113,13
국가,경제,0.7089344263076782,13
국립,학교,0.6386775374412537,1
군대,군대,1,1
군사,군사,1,1
군인,군대,0.6802380084991455,15
군장,군대,0.6040830016136169,1
궁극,생존,0.5224151611328125,2
권력,권력,1,1
근간,철학,0.5598404407501221,1
근거,의심,0.5799501538276672,1
금지,도박,0.519909143447876,1
기각,살인,0.5057461261749268,1
기대,기대,1,2
기대감,기대,0.6246221661567688,2
기분,유쾌,0.6678951382637024,1
기술,농업,0.6986809968948364,1
기술원,학교,0.5098636150360107,1
기억,사랑,0.6537694931030273,9
기초,교육,0.6542633175849915,1
기타,음악,0.5873071551322937,1
낚시,여행,0.6184428334236145,1
남편,가족,0.6233720779418945,1
내무실,군대,0.5167654156684875,1
노력,헌신,0.6555296182632446,8
녹음,음악,0.6460626721382141,1
녹음기,컴퓨터,0.590388298034668,2
논란,갈등,0.5854588747024536,1
놀림,상처,0.6173624396324158,1
농장,농업,0.6616603136062622,1
누락,상실,0.5793421864509583,2
눈길,동정,0.5653472542762756,1
눈물,슬픔,0.6957001090049744,3
느낌,슬픔,0.6343626976013184,3
대답,후회,0.5436964631080627,1
대대,군대,0.5899211764335632,2
대학원,학교,0.5080148577690125,1
댓글,후회,0.505795419216156,3
도전,열정,0.6956499814987183,1
도착,여행,0.6466491222381592,1
뒷조사,음모론,0.5236920714378357,1
드라마,드라마,1,3
레드,정글,0.5992697477340698,1
마음,기쁨,0.6783162951469421,9
마케팅,가상현실,0.5079087615013123,1
말년,멸망,0.5335338115692139,1
말단,권력,0.5132297873497009,1
망각,고독,0.7046898603439331,1
매력,열정,0.6489761471748352,1
매복,수색,0.6102346777915955,1
메모,대화,0.5669617652893066,1
메시지,대화,0.5048822164535522,1
면회,군대,0.5405725240707397,1
명령,군사,0.5395892262458801,4
모습,꿈,0.5368646383285522,8
무단,폭력,0.5057473182678223,1
무덤,신화,0.5744480490684509,1
무릎,상처,0.5319340229034424,1
묵살,분노,0.5607410073280334,1
문제,갈등,0.6495088934898376,2
뮤지컬,뮤지컬,1,1
뮤직,음악,0.7402024269104004,1
미군,군사,0.6460919976234436,18
미끼,도둑,0.5375844836235046,1
밀림,정글,0.6442058682441711,1
바닷물,바다,0.5779070854187012,1
바둑,경제,0.6232437491416931,1
박살,도둑,0.5136302709579468,1
반문,신화,0.5213050246238708,1
반역,음모,0.6959145665168762,1
