Word,Category,Similarity,Frequency
가게,여행,0.5113754868507385,2
가난,고통,0.7040712237358093,2
가늠,기대,0.5158867239952087,1
가능,여행,0.6136982440948486,9
가드,도둑,0.5269968509674072,1
가십,개그,0.5611024498939514,1
가업,의리,0.526752233505249,1
가정,가족,0.7013463377952576,1
가정사,정신병,0.5068067312240601,1
가족,가족,1,5
가짜,괴담,0.5858274698257446,4
가치,윤리,0.6346501111984253,7
가치관,자기성찰,0.5398943424224854,1
간지,의리,0.5457688570022583,2
갈등,갈등,1,2
갈망,욕망,0.7525596022605896,2
감동,기쁨,0.6450744271278381,6
감미,음식,0.5325547456741333,1
감상,음악,0.6411212086677551,9
감상자,심리,0.5284456610679626,1
감자,음식,0.531127393245697,1
감정,심리,0.7588332891464233,10
감탄,열정,0.5392419099807739,4
강요,용서,0.5793744921684265,1
개념,교육,0.6287856698036194,3
개똥,괴담,0.5898844003677368,2
개성,자아,0.5115846395492554,2
거대,괴물,0.5640032887458801,1
거래,도박,0.6013003587722778,1
거리,도시,0.60332190990448,1
거짓,범죄,0.5651490092277527,1
걱정,후회,0.651527464389801,2
건설,도시,0.6078121066093445,1
건초,동물,0.5482379794120789,1
게임,만화,0.7299426198005676,2
격려,동정,0.5737254619598389,1
견지,자아,0.5514594316482544,1
결점,상처,0.5049402117729187,1
결함,의심,0.6190357208251953,5
결혼,연애,0.6863196492195129,1
경고,의심,0.5979491472244263,1
경멸,분노,0.6611237525939941,1
경험,열정,0.6344258189201355,9
계발,교육,0.7170054912567139,1
계층,환경,0.5694180130958557,6
고독,고독,1,1
고등학교,학교,0.6346824765205383,1
고립,불안,0.661411464214325,1
고생,고통,0.5584161281585693,1
고통,고통,1,4
곤란,상실,0.6153967976570129,2
골목,괴담,0.5829960107803345,1
공권력,폭력,0.5053700804710388,1
공부,교육,0.6627280712127686,1
공연,음악,0.7031762599945068,1
공포,공포,1,1
공포물,개그,0.6559643149375916,1
공항,교통,0.7404273152351379,1
과실,살인,0.5696340799331665,1
과오,후회,0.6094723343849182,1
과정,교육,0.6268183588981628,6
과학,과학,1,1
과학자,과학,0.5320860147476196,1
관람,여행,0.5587009191513062,9
관심,기대,0.6249675154685974,1
관찰,발견,0.5781939625740051,1
교감,대화,0.5680186152458191,1
