Word,Category,Similarity,Frequency
19금,판타지,0.5272679924964905,1
N잡,액션,1,1
가난,고통,0.7040712237358093,4
가능,여행,0.6136982440948486,1
가식,열정,0.5882983207702637,1
가족,가족,1,3
가짜,괴담,0.5858274698257446,6
간섭,권력,0.5510541796684265,1
간접,교육,0.5171768665313721,1
간호,교육,0.6981058716773987,1
갈등,갈등,1,3
갈망,욕망,0.7525596022605896,1
갈증,기쁨,0.6175435781478882,1
갈취,폭력,0.670322597026825,1
감동,기쁨,0.6450744271278381,2
감상,음악,0.6411212086677551,7
감정,심리,0.7588332891464233,13
감탄,열정,0.5392419099807739,4
개그,개그,1,1
개방,교육,0.5870132446289062,1
개성,자아,0.5115846395492554,1
개요,여행,0.5623396039009094,2
거름,용기,0.5566235780715942,1
거리,도시,0.60332190990448,2
거주,도시,0.6213511228561401,1
거짓,범죄,0.5651490092277527,17
거짓말,부도덕,0.5334540605545044,46
걱정,후회,0.651527464389801,1
검색,여행,0.6249870657920837,1
결핍,상실,0.6430530548095703,2
결혼,연애,0.6863196492195129,1
경계심,두려움,0.6281437873840332,1
경고,의심,0.5979491472244263,1
경제,경제,1,2
경험,열정,0.6344258189201355,4
계층,환경,0.5694180130958557,1
계획,여행,0.6060113906860352,2
고객,가족,0.5992609262466431,1
고뇌,고독,0.6679061055183411,1
고전,미술,0.6437533497810364,3
공부,교육,0.6627280712127686,3
공포,공포,1,1
과시,열정,0.509526789188385,1
과정,교육,0.6268183588981628,5
과학,과학,1,1
관능미,유쾌,0.5247100591659546,1
관람,여행,0.5587009191513062,3
관심,기대,0.6249675154685974,7
관전,정치,0.5587530136108398,2
관찰,발견,0.5781939625740051,2
광고,방송,0.6559303998947144,1
구렁텅이,고통,0.52565997838974,1
구멍,상처,0.5373755693435669,1
구속,충격,0.5845648646354675,1
국가,경제,0.7089344263076782,3
굴레,욕망,0.5908722877502441,1
궁핍,고통,0.685816764831543,1
궤적,미래,0.5100540518760681,1
그림자,유령,0.5297560691833496,1
극도,괴담,0.5402888059616089,2
극복,고통,0.6304678916931152,2
극혐,괴담,0.5952990651130676,1
근거,의심,0.5799501538276672,1
근처,학교,0.5683311223983765,1
글귀,꿈,0.6168593764305115,1
글씨,꿈,0.5032174587249756,1
기기,전기,0.6136850118637085,1
기대,기대,1,4
기분,유쾌,0.6678951382637024,1
기생충,흡혈귀,0.5087416172027588,1
기억,사랑,0.6537694931030273,8
기질,욕망,0.6052412986755371,1
기타,음악,0.5873071551322937,1
긴장,불안,0.6880083084106445,1
꼬리,동물,0.517152726650238,1
나날,이별,0.6136053204536438,3
남자,사랑,0.5456969141960144,5
납득,용서,0.5769292116165161,3
내면,내면,1,6
냄새,음식,0.5817655324935913,1
노래,춤,0.7242721915245056,4
노력,헌신,0.6555296182632446,4
녹색,희망,0.6179736256599426,1
놀이,춤,0.6705771684646606,1
농담,개그,0.6088651418685913,1
느낌,슬픔,0.6343626976013184,3
능력,교육,0.6137364506721497,1
다툼,갈등,0.7528305649757385,1
단편,만화,0.737099826335907,1
당황,충격,0.6099472045898438,1
대역,방송,0.5083501935005188,1
대처,재난,0.5325601696968079,1
도덕,윤리,0.8225712776184082,4
도시,도시,1,2
