Word,Category,Similarity,Frequency
가족,가족,1,1
가치,윤리,0.6346501111984253,1
갈등,갈등,1,2
감상,음악,0.6411212086677551,2
감정,심리,0.7588332891464233,1
걱정,후회,0.651527464389801,2
격투,액션,0.6852583885192871,1
결별,이별,0.5961124300956726,1
고전,미술,0.6437533497810364,2
공격,전투,0.6404148936271667,1
과도,권력,0.5410835146903992,1
과정,교육,0.6268183588981628,1
관람,여행,0.5587009191513062,2
관심,기대,0.6249675154685974,1
교통사고,재난,0.5448524355888367,1
구매,여행,0.5682201981544495,1
극복,고통,0.6304678916931152,1
기대,기대,1,3
남자,사랑,0.5456969141960144,8
납득,용서,0.5769292116165161,1
노력,헌신,0.6555296182632446,2
노출,충격,0.60725998878479,1
논란,갈등,0.5854588747024536,1
느낌,슬픔,0.6343626976013184,5
다툼,갈등,0.7528305649757385,1
데코,미술,0.5546504855155945,1
드라마,드라마,1,1
디지털,컴퓨터,0.6325473189353943,1
라이벌,자존심,0.5227869749069214,1
로맨스,로맨스,1,7
마음,기쁨,0.6783162951469421,3
메시지,대화,0.5048822164535522,2
멘토,교육,0.5570372939109802,1
면모,자아,0.5388920903205872,1
모범,교육,0.5256304740905762,1
모종,동물,0.5004690289497375,1
몸살,불안,0.6206525564193726,1
몸싸움,폭력,0.5063389539718628,1
문제,갈등,0.6495088934898376,1
문제점,사회문제,0.5382509231567383,1
발견,발견,1,2
방문,여행,0.5841829180717468,1
밴스,정글,0.5041902661323547,3
변화,성장,0.7235260605812073,1
불쾌감,무력감,0.5967289209365845,1
비서,탐정,0.5611511468887329,1
비중,성장,0.5152275562286377,1
사람,꿈,0.5610076785087585,2
사랑,사랑,1,4
살결,유쾌,0.519589364528656,1
삼각,우정,0.5756801962852478,2
삼각관계,갈등,0.543746292591095,3
상실,상실,1,1
상영,방송,0.6350025534629822,1
상처,상처,1,1
상황,혼란,0.6442916989326477,2
생각,후회,0.6602693200111389,2
설득,대화,0.5834951996803284,1
성인,교육,0.5841577649116516,1
세상,기쁨,0.6082786321640015,1
소설,만화,0.8215566873550415,3
쇼핑,음식,0.6577849984169006,1
시리즈,만화,0.5106303691864014,2
시작,발견,0.534450113773346,4
시즌,방송,0.5284544229507446,1
시청,방송,0.6024045944213867,1
시청자,방송,0.5191292762756348,1
실추,상실,0.5459750294685364,1
싸움,전투,0.6696678996086121,1
아들,가족,0.5667959451675415,1
아픔,상처,0.7904168963432312,1
안내,여행,0.6065822839736938,1
언쟁,갈등,0.648293137550354,1
엄마,사랑,0.5908297300338745,1
여자,사랑,0.5380519032478333,2
여행,여행,1,1
연애,연애,1,1
연인,사랑,0.6981024742126465,3
연출,액션,0.5377380847930908,1
영화,만화,0.7536719441413879,29
원고,고문,0.537358820438385,1
원작,만화,0.7227425575256348,4
유혹,욕망,0.6288394331932068,1
육체,자아,0.5753576159477234,1
의붓,가족,0.5846958756446838,1
이별,이별,1,2
인기,여행,0.6119158267974854,2
인물,정치,0.5848035216331482,2
인상,기대,0.6044384241104126,1
인턴,교육,0.5525043606758118,5
인턴십,교육,0.520073413848877,1
일상,유쾌,0.5978867411613464,1
자연,환경,0.6941760182380676,1
장르,음악,0.7329081892967224,2
장면,액션,0.5999083518981934,4
전화,대화,0.5852361917495728,3
접촉,대화,0.5968011617660522,1
정보,교통,0.6121577620506287,2
제작,방송,0.6307950615882874,3
젠틀,정글,0.5795666575431824,1
졸업,여행,0.5504979491233826,4
주저,후회,0.5583959817886353,1
줄거리,드라마,0.531794548034668,2
지속,성장,0.6684333086013794,1
지역,도시,0.7241222858428955,1
집필,만화,0.5247843861579895,1
차량,교통,0.6311841607093811,1
참여,기대,0.5516729950904846,1
첫사랑,로맨스,0.5646798014640808,1
촬영,방송,0.6484997272491455,1
추석,가족,0.5576308369636536,1
추적,수색,0.6436203122138977,1
추천,여행,0.5768113136291504,3
출근,이별,0.512470543384552,2
충격,충격,1,1
충고,희망,0.5609210729598999,1
카피,용기,0.5158012509346008,2
캐릭터,인형,0.5306801795959473,2
통합,교육,0.6034629344940186,1
퇴촉,액션,1,1
퇴폐,폭력,0.6446935534477234,1
투자,경제,0.6519772410392761,1
판정,의심,0.5116661787033081,1
