Word,Category,Similarity,Frequency
가혹,폭력,0.7184136509895325,1
감성,심리,0.6301533579826355,1
거리,도시,0.60332190990448,1
걱정,후회,0.651527464389801,1
경험,열정,0.6344258189201355,1
괴짜,탐정,0.7281141877174377,1
기대,기대,1,1
기분,유쾌,0.6678951382637024,1
꿈속,꿈,0.5705016851425171,1
남자,사랑,0.5456969141960144,2
노래,춤,0.7242721915245056,1
느낌,슬픔,0.6343626976013184,2
도망,도둑,0.5489647388458252,1
도시,도시,1,3
도시인,도시,0.5859336853027344,1
도착,여행,0.6466491222381592,1
독특,춤,0.5334261655807495,1
동심,사랑,0.569958508014679,1
동작,춤,0.578336238861084,1
돼지,동물,0.6352735757827759,2
뒷맛,유쾌,0.551780641078949,1
마음,기쁨,0.6783162951469421,6
매력,열정,0.6489761471748352,2
먹이,동물,0.6372129321098328,1
모습,꿈,0.5368646383285522,2
모양,인형,0.6405982375144958,2
몽환,공포,0.573314368724823,1
무인도,정글,0.5329716801643372,1
뮤지션,뮤지컬,0.5509675741195679,1
밤길,도둑,0.5287847518920898,1
배달,음식,0.6220709681510925,1
분출,충격,0.5524009466171265,1
사람,꿈,0.5610076785087585,11
사막,정글,0.6484219431877136,1
삽입곡,드라마,0.5889449715614319,1
상상,욕망,0.6180667877197266,2
상황,혼란,0.6442916989326477,1
생각,후회,0.6602693200111389,4
세상,기쁨,0.6082786321640015,2
소음,환경,0.5501613020896912,3
시작,발견,0.534450113773346,1
신비,기쁨,0.6222472786903381,1
실망감,무력감,0.6360117197036743,1
악몽,공포,0.6761541962623596,1
야생,동물,0.7116484642028809,1
야채,음식,0.7395855784416199,1
연출,액션,0.5377380847930908,1
영화,만화,0.7536719441413879,18
옴니버스,코미디,0.5680863857269287,1
위로,바다,0.5024420619010925,1
유머,개그,0.6961884498596191,1
인기,여행,0.6119158267974854,1
일말,액션,1,1
작가,만화,0.6290877461433411,2
잔향,슬픔,0.5686807632446289,1
장면,액션,0.5999083518981934,5
주위,도시,0.5119664072990417,1
줄거리,드라마,0.531794548034668,1
증폭,충격,0.6132881045341492,1
차량,교통,0.6311841607093811,1
촬영,방송,0.6484997272491455,1
촬영장,드라마,0.5815523266792297,1
출발,여행,0.6575770378112793,1
출연,방송,0.659591019153595,1
취미,음악,0.5891837477684021,1
캥거루,정글,0.5019016265869141,2
특유,춤,0.5365961194038391,1
표현,대화,0.5644240975379944,1
해변,여행,0.6242720484733582,1
해안가,도시,0.5029321312904358,1
핸드헬드,액션,0.5639755725860596,1
행복,기쁨,0.7726561427116394,2
현대,미술,0.6356669068336487,1
혹평,분노,0.527694821357727,4
화면,액션,0.6001543998718262,1
환영,희망,0.5663730502128601,1
활동,교육,0.6086112856864929,1
효과,기대,0.5692968964576721,1
히트,음악,0.5558123588562012,1

Category,Count,average
액션,5,0.6603552818298339
도시,5,0.6408308267593383
기쁨,4,0.6703745871782303
여행,4,0.6351035088300705
춤,4,0.5931576788425446
동물,3,0.6613783240318298
드라마,3,0.5674306154251099
정글,3,0.5610984166463217
꿈,3,0.5561246673266093
기대,2,0.7846484482288361
만화,2,0.6913798451423645
음식,2,0.6808282732963562
후회,2,0.65589839220047
방송,2,0.6540453732013702
열정,2,0.6417009830474854
공포,2,0.6247342824935913
유쾌,2,0.6098378896713257
슬픔,2,0.6015217304229736
충격,2,0.5828445255756378
음악,2,0.5724980533123016
사랑,2,0.5578277111053467
도둑,2,0.5388747453689575
탐정,1,0.7281141877174377
폭력,1,0.7184136509895325
개그,1,0.6961884498596191
혼란,1,0.6442916989326477
인형,1,0.6405982375144958
무력감,1,0.6360117197036743
미술,1,0.6356669068336487
교통,1,0.6311841607093811
심리,1,0.6301533579826355
욕망,1,0.6180667877197266
교육,1,0.6086112856864929
코미디,1,0.5680863857269287
희망,1,0.5663730502128601
대화,1,0.5644240975379944
뮤지컬,1,0.5509675741195679
환경,1,0.5501613020896912
발견,1,0.534450113773346
분노,1,0.527694821357727
바다,1,0.5024420619010925
