Word,Category,Similarity,Frequency
가능,여행,0.6136982440948486,1
가슴,상처,0.6098507642745972,2
가정,가족,0.7013463377952576,15
가족,가족,1,70
가짜,괴담,0.5858274698257446,1
간식,음식,0.7144152522087097,2
갈등,갈등,1,5
감동,기쁨,0.6450744271278381,9
감상,음악,0.6411212086677551,1
감성,심리,0.6301533579826355,1
감정,심리,0.7588332891464233,9
개봉작,드라마,0.5794780254364014,1
걱정,후회,0.651527464389801,3
검색,여행,0.6249870657920837,1
결혼,연애,0.6863196492195129,9
고자,동정,0.5057293772697449,1
공통,환경,0.583020031452179,4
공포,공포,1,3
과시,열정,0.509526789188385,2
과정,교육,0.6268183588981628,2
관심,기대,0.6249675154685974,1
광고,방송,0.6559303998947144,2
괴담,괴담,1,1
교육,교육,1,2
굴복,배신,0.5670102834701538,2
극렬,독재,0.5618231892585754,1
극복,고통,0.6304678916931152,1
극장가,드라마,0.5290873050689697,1
기대,기대,1,7
기대감,기대,0.6246221661567688,2
기분,유쾌,0.6678951382637024,3
기억,사랑,0.6537694931030273,3
기획,교육,0.625312864780426,2
남녀,평등,0.5715689063072205,2
남자,사랑,0.5456969141960144,6
냄새,음식,0.5817655324935913,2
노래,춤,0.7242721915245056,1
노력,헌신,0.6555296182632446,4
논리,철학,0.5892475247383118,1
논술,철학,0.661008894443512,3
눈물,슬픔,0.6957001090049744,3
느낌,슬픔,0.6343626976013184,9
능력,교육,0.6137364506721497,2
단체,종교,0.635517418384552,1
대출,유령,0.5509581565856934,1
대학원,학교,0.5080148577690125,1
데드,액션,0.6570842266082764,1
데뷔,방송,0.5465471744537354,8
데뷔작,드라마,0.5683770775794983,1
도움,기대,0.5482439994812012,1
독서,철학,0.7120826244354248,1
독촉,혼란,0.5295079350471497,1
동물,동물,1,1
동영상,가상현실,0.5586168169975281,3
드라마,드라마,1,7
마법,마법,1,1
마음,기쁨,0.6783162951469421,10
만렙,액션,0.6052595973014832,1
매너,음식,0.54179447889328,2
매력,열정,0.6489761471748352,3
매스,좀비,0.5394856333732605,1
멀티,액션,0.6227184534072876,1
메시지,대화,0.5048822164535522,7
멘붕,충격,0.5910674929618835,1
면모,자아,0.5388920903205872,2
모습,꿈,0.5368646383285522,17
목격,발견,0.6813858151435852,1
몰입,열정,0.6674494743347168,8
무릎,상처,0.5319340229034424,1
문제,갈등,0.6495088934898376,1
뮤지컬,뮤지컬,1,1
므찌,액션,1,1
미래,미래,1,1
미스,좀비,0.5220737457275391,2
미쓰,도둑,0.5035915374755859,1
미제,독재,0.5607099533081055,1
바닷가,바다,0.5303730368614197,1
발견,발견,1,3
발생,혼란,0.6102904081344604,1
발전,성장,0.7311267852783203,1
방해,혼란,0.5498800277709961,1
버스,교통,0.730898916721344,1
봄날,이별,0.6270255446434021,1
부각,성장,0.5576289892196655,2
부모,가족,0.6875284910202026,2
부성애,사랑,0.6310836672782898,1
분신,절망,0.6349835395812988,10
브라운관,드라마,0.5539911985397339,3
비리,범죄,0.6398225426673889,1
빌미,괴담,0.5338877439498901,1
사건,살인,0.7159186005592346,3
사고,의심,0.5630502700805664,1
사고력,자기성찰,0.5116857290267944,1
사람,꿈,0.5610076785087585,12
사랑,사랑,1,22
사범대,학교,0.5680040717124939,1
사진,미술,0.5546669960021973,3
사촌,가족,0.594305157661438,1
사회,경제,0.8096231818199158,1
삭제,의심,0.5076044797897339,1
삼촌,도둑,0.5172341465950012,4
상상,욕망,0.6180667877197266,2
상영,방송,0.6350025534629822,1
상자,용기,0.6402463316917419,1
상황,혼란,0.6442916989326477,9
색깔,동물,0.5537340044975281,1
색시,꿈,0.5664829015731812,1
색즉시공,드라마,0.5258797407150269,1
생각,후회,0.6602693200111389,29
생활,환경,0.7009555697441101,3
선박,해양,0.712157666683197,3
설계,환경,0.5748440623283386,1
성인,교육,0.5841577649116516,1
성장,성장,1,1
세상,기쁨,0.6082786321640015,3
수업,교육,0.711469292640686,5
스릴러,스릴러,1,2
스마트,가상현실,0.5641322731971741,1
스틸,액션,0.5995299220085144,5
스틸러,언더독,0.5065555572509766,1
스포트라이트,드라마,0.5110124945640564,1
시리즈,만화,0.5106303691864014,5
시작,발견,0.534450113773346,4
시청,방송,0.6024045944213867,1
시청자,방송,0.5191292762756348,3
시험,교육,0.6255394220352173,1
실신,무력감,0.5351675152778625,1
싸움,전투,0.6696678996086121,6
아내,가족,0.582758903503418,4
아들,가족,0.5667959451675415,31
아역,액션,0.5058702826499939,11
아이리스,드라마,0.50838702917099,1
아티스트,뮤지컬,0.511084258556366,1
아픔,상처,0.7904168963432312,1
앙상블,뮤지컬,0.5022584199905396,2
애니메이션,만화,0.68199223279953,4
애비,유령,0.5263656377792358,1
액션,액션,1,2
어바부,드라마,0.5352725982666016,1
어부,해적,0.6063424944877625,1
엄마,사랑,0.5908297300338745,7
엄포,괴담,0.5090837478637695,1
여왕,유령,0.5411664247512817,1
여자,사랑,0.5380519032478333,8
여주인공,로맨스,0.5319628715515137,1
역량,교육,0.6734476685523987,1
역전,살인,0.5333908200263977,1
연극,미술,0.7502412796020508,1
연예,방송,0.7187750935554504,1
연인,사랑,0.6981024742126465,1
연출,액션,0.5377380847930908,4
영화,만화,0.7536719441413879,130
영화관,드라마,0.5831791758537292,1
영화인,다큐멘터리,0.5932591557502747,1
예상,기대,0.655988872051239,1
옛날,시골,0.5727385878562927,2
오디션,뮤지컬,0.6122252941131592,1
오디오,컴퓨터,0.5893809199333191,1
오해,상처,0.5473958253860474,2
왕초,도둑,0.6484996676445007,1
웃음,개그,0.6434062123298645,7
위기,혼란,0.6975850462913513,5
유머,개그,0.6961884498596191,6
유발,의심,0.6065707206726074,1
음악,음악,1,3
의무,윤리,0.6379601955413818,3
의자,인형,0.6082906723022461,1
이름,신화,0.5608668327331543,6
이목,동정,0.5794278979301453,3
이해,철학,0.5395932197570801,2
인기,여행,0.6119158267974854,1
인물,정치,0.5848035216331482,27
인상,기대,0.6044384241104126,5
인터뷰,다큐멘터리,0.5540832281112671,2
일상,유쾌,0.5978867411613464,2
자식,가족,0.5835269689559937,2
자신감,자존심,0.5629044771194458,1
자아,자아,1,1
자책,후회,0.5883148312568665,1
작전,전투,0.6892815232276917,1
잔혹,폭력,0.6832144260406494,1
