Word,Category,Similarity,Frequency
감흥,슬픔,0.63573157787323,1
거대,괴물,0.5640032887458801,1
거물,고문,0.5415357947349548,3
거액,도박,0.5036361217498779,1
고발자,고문,0.5552508234977722,1
고액,도박,0.504271388053894,1
과정,교육,0.6268183588981628,1
관람,여행,0.5587009191513062,2
교회,종교,0.6748078465461731,1
권력,권력,1,3
글로벌,가상현실,0.526810348033905,1
금지,도박,0.519909143447876,2
기대감,기대,0.6246221661567688,1
기대치,기대,0.6108274459838867,1
기억,사랑,0.6537694931030273,1
기획,교육,0.625312864780426,1
긴박감,유쾌,0.531667947769165,1
남자,사랑,0.5456969141960144,1
내부자,범죄,0.5989553928375244,1
눈앞,기대,0.5104065537452698,1
단죄,용서,0.6557201743125916,1
데뷔작,드라마,0.5683770775794983,1
데이터,컴퓨터,0.5682036876678467,2
로펌,법정,0.5958049893379211,4
메시지,대화,0.5048822164535522,1
몰입,열정,0.6674494743347168,1
묘미,개그,0.5619542598724365,1
무단,폭력,0.5057473182678223,1
문제,갈등,0.6495088934898376,1
미사여구,부도덕,0.5081059336662292,1
밀회,이별,0.6151661276817322,1
발견,발견,1,2
방해,혼란,0.5498800277709961,1
범죄,범죄,1,2
베테랑,탐정,0.5211659669876099,1
변조,범죄,0.5365262031555176,1
불륜,연애,0.7070099711418152,1
비리,범죄,0.6398225426673889,3
비프,음식,0.5332616567611694,1
사건,살인,0.7159186005592346,2
사냥,전투,0.6896240711212158,1
사진,미술,0.5546669960021973,1
상대,추격,0.558393657207489,1
생각,후회,0.6602693200111389,1
생애,철학,0.5437271595001221,1
성당,감옥,0.5520095825195312,1
세계,경제,0.6071235537528992,1
소송,법정,0.7026453018188477,2
소원,사랑,0.6399070620536804,1
스릴러,스릴러,1,2
스틸,액션,0.5995299220085144,1
시리즈,만화,0.5106303691864014,2
시작,발견,0.534450113773346,1
시험,교육,0.6255394220352173,2
식품,음식,0.794516921043396,1
신약,질병,0.5712383389472961,2
실험,과학,0.6881481409072876,1
아내,가족,0.582758903503418,1
압박,충격,0.5949738621711731,1
연인,사랑,0.6981024742126465,1
연출,액션,0.5377380847930908,1
영화,만화,0.7536719441413879,11
예고편,드라마,0.5787103772163391,1
옛날,시골,0.5727385878562927,1
완더,액션,1,1
요부,자아,0.5056095719337463,1
위기,혼란,0.6975850462913513,1
위험,불안,0.6922099590301514,1
유발,의심,0.6065707206726074,1
유혹,욕망,0.6288394331932068,1
음모,음모,1,3
음악,음악,1,1
의의,여행,0.5608593821525574,1
의혹,살인,0.6198999285697937,4
이해,철학,0.5395932197570801,1
자료,교육,0.5909054279327393,1
자사,방송,0.5409561991691589,1
장르,음악,0.7329081892967224,1
장면,액션,0.5999083518981934,3
장소,여행,0.6031988263130188,1
재력,권력,0.6250316500663757,1
재판,법정,0.6558515429496765,1
절제,욕망,0.5824708938598633,1
정보,교통,0.6121577620506287,1
제공,여행,0.6024255156517029,1
제약,환경,0.6168046593666077,3
제작,방송,0.6307950615882874,2
제작진,드라마,0.5286853313446045,1
조작,범죄,0.5801150798797607,2
주검,희생,0.5707909464836121,1
주목,기대,0.562468945980072,1
죽음,고독,0.6896678805351257,1
줄거리,드라마,0.531794548034668,1
지불,여행,0.5495700836181641,1
직면,고통,0.5117434859275818,1
진출작,언더독,0.5528660416603088,1
집단,폭력,0.6576167941093445,1
참여,기대,0.5516729950904846,1
천문학,과학,0.614375114440918,1
촬영,방송,0.6484997272491455,1
출연,방송,0.659591019153595,1
캐릭터,인형,0.5306801795959473,1
평면,미술,0.5898733139038086,1
프로그램,교육,0.6089324355125427,1
플랫폼,가상현실,0.5415536761283875,1
현장,교육,0.5853086113929749,1
혐의,범죄,0.6398565173149109,1
협박,폭력,0.6928228735923767,1
호흡,춤,0.5944341421127319,2
화제,방송,0.5529026389122009,1
환자,질병,0.6447532773017883,1
활동,교육,0.6086112856864929,1
활약,성장,0.5549848675727844,1

Category,Count,average
교육,7,0.6102040580340794
범죄,6,0.6658792893091837
방송,5,0.6065489292144776
여행,5,0.5749509453773498
기대,5,0.5719996213912963
액션,4,0.6842940896749496
사랑,4,0.6343689858913422
드라마,4,0.5518918335437775
법정,3,0.6514339447021484
폭력,3,0.6187289953231812
도박,3,0.5092722177505493
음악,2,0.8664540946483612
권력,2,0.8125158250331879
발견,2,0.767225056886673
살인,2,0.6679092645645142
음식,2,0.6638892889022827
과학,2,0.6512616276741028
만화,2,0.6321511566638947
혼란,2,0.6237325370311737
질병,2,0.6079958081245422
욕망,2,0.605655163526535
미술,2,0.5722701549530029
고문,2,0.5483933091163635
철학,2,0.5416601896286011
가상현실,2,0.5341820120811462
스릴러,1,1.0
음모,1,1.0
연애,1,0.7070099711418152
불안,1,0.6922099590301514
고독,1,0.6896678805351257
전투,1,0.6896240711212158
종교,1,0.6748078465461731
열정,1,0.6674494743347168
후회,1,0.6602693200111389
용서,1,0.6557201743125916
갈등,1,0.6495088934898376
슬픔,1,0.63573157787323
환경,1,0.6168046593666077
이별,1,0.6151661276817322
교통,1,0.6121577620506287
경제,1,0.6071235537528992
의심,1,0.6065707206726074
충격,1,0.5949738621711731
춤,1,0.5944341421127319
가족,1,0.582758903503418
시골,1,0.5727385878562927
희생,1,0.5707909464836121
컴퓨터,1,0.5682036876678467
괴물,1,0.5640032887458801
개그,1,0.5619542598724365
추격,1,0.558393657207489
성장,1,0.5549848675727844
언더독,1,0.5528660416603088
감옥,1,0.5520095825195312
유쾌,1,0.531667947769165
인형,1,0.5306801795959473
탐정,1,0.5211659669876099
고통,1,0.5117434859275818
부도덕,1,0.5081059336662292
자아,1,0.5056095719337463
대화,1,0.5048822164535522
