Word,Category,Similarity,Frequency
가게,여행,0.5113754868507385,1
가능,여행,0.6136982440948486,3
가수,음악,0.6117961406707764,1
가슴,상처,0.6098507642745972,1
가족,가족,1,12
가죽,동물,0.6331756114959717,1
가출,살인,0.6332151889801025,1
가치,윤리,0.6346501111984253,2
간판,학교,0.5174685716629028,3
갈등,갈등,1,1
감동,기쁨,0.6450744271278381,9
감상,음악,0.6411212086677551,7
감성,심리,0.6301533579826355,4
감염,질병,0.6859014630317688,1
감전,충격,0.6082007884979248,1
감정,심리,0.7588332891464233,4
감탄,열정,0.5392419099807739,1
감회,유쾌,0.5907583236694336,1
강력,충격,0.5549739599227905,1
강요,용서,0.5793744921684265,1
강타,충격,0.5686725378036499,1
개그,개그,1,4
개요,여행,0.5623396039009094,1
거대,괴물,0.5640032887458801,1
거리,도시,0.60332190990448,4
거머리,괴물,0.5007690191268921,1
게더,액션,1,2
게임,만화,0.7299426198005676,1
결제,여행,0.5954683423042297,1
결혼,연애,0.6863196492195129,3
경고,의심,0.5979491472244263,3
경향,정치,0.5916027426719666,1
경험,열정,0.6344258189201355,2
계획,여행,0.6060113906860352,1
고립,불안,0.661411464214325,4
고정관념,자존심,0.5037301778793335,1
고증,미술,0.5211591720581055,1
고층,도시,0.5431943535804749,1
공연,음악,0.7031762599945068,2
공포,공포,1,3
과정,교육,0.6268183588981628,3
관람,여행,0.5587009191513062,7
관심,기대,0.6249675154685974,1
관측,우주,0.5884171724319458,2
광고,방송,0.6559303998947144,4
괴물,괴물,1,1
교대,수색,0.5133755207061768,1
교육,교육,1,2
구라,괴담,0.5816822052001953,1
구이,음식,0.5948521494865417,3
구입,여행,0.5183897018432617,1
구조,환경,0.6101574897766113,10
국가,경제,0.7089344263076782,3
그릇,음식,0.6678139567375183,1
그리움,고독,0.5979834794998169,1
금니,도둑,0.5569764971733093,1
금연,가족,0.5574212670326233,2
기대,기대,1,4
기대감,기대,0.6246221661567688,1
기름,전기,0.5815778970718384,1
기분,유쾌,0.6678951382637024,3
기생충,흡혈귀,0.5087416172027588,1
기억,사랑,0.6537694931030273,8
기타,음악,0.5873071551322937,1
기획,교육,0.625312864780426,1
긴박감,유쾌,0.531667947769165,1
꺄악,유쾌,0.5018983483314514,1
꽐라,유쾌,0.5252389907836914,1
날씨,환경,0.6094790697097778,2
날짜,여행,0.5524149537086487,1
남발,괴담,0.5062358379364014,1
남자,사랑,0.5456969141960144,6
남편,가족,0.6233720779418945,1
낫밷,액션,1,1
낭비,혼란,0.5356693863868713,2
냄새,음식,0.5817655324935913,1
냉면,음식,0.6049853563308716,1
노래,춤,0.7242721915245056,1
노력,헌신,0.6555296182632446,2
농구,개그,0.6286988854408264,1
눈물,슬픔,0.6957001090049744,3
느낌,슬픔,0.6343626976013184,7
능력,교육,0.6137364506721497,1
다발,살인,0.5137037634849548,1
단속,범죄,0.5896289348602295,1
담배,음식,0.6096588969230652,5
당국,군사,0.5687816739082336,2
당혹,분노,0.5576525330543518,1
대목,꿈,0.5127710700035095,1
대피,재난,0.6124057769775391,1
더위,질병,0.5179445147514343,1
덩크,액션,0.5596431493759155,1
데이트,로맨스,0.5355676412582397,1
도로,교통,0.7222923040390015,1
도시,도시,1,3
도심지,도시,0.5886378288269043,1
도어,전기,0.5448257923126221,1
도움,기대,0.5482439994812012,1
도전,열정,0.6956499814987183,5
도착,여행,0.6466491222381592,2
두려움,두려움,1,1
드라마,드라마,1,12
디지털,컴퓨터,0.6325473189353943,1
땡볕,설원,0.5962043404579163,1
러브,액션,0.6233081817626953,2
로또,도박,0.5594868659973145,1
리모컨,컴퓨터,0.5121960639953613,1
리본,인형,0.5378976464271545,1
리얼리즘,부조리,0.5034682154655457,1
리클,액션,1,5
마녀,유령,0.7514040470123291,1
마비,혼란,0.6122421026229858,1
마음,기쁨,0.6783162951469421,10
만취,유쾌,0.5408493876457214,1
매력,열정,0.6489761471748352,3
맥락,질서,0.601793110370636,1
먹거리,음식,0.5923094749450684,1
먹방,음식,0.6508429050445557,1
메시지,대화,0.5048822164535522,3
메일,만화,0.5050849914550781,1
며느리,드라마,0.515521764755249,1
멱살,도둑,0.6118526458740234,2
명곡,사랑,0.5801110863685608,1
명령,군사,0.5395892262458801,1
명작,만화,0.6867616772651672,1
모드,액션,0.6706643104553223,1
모습,꿈,0.5368646383285522,10
목요,탐정,0.6056506633758545,1
목표,성장,0.6552416682243347,1
몰입,열정,0.6674494743347168,4
무모,살인,0.5360095500946045,1
물의,바다,0.5733065605163574,1
뮤지컬,뮤지컬,1,2
미션,액션,0.6060617566108704,1
민폐,개그,0.5627604722976685,2
바다,바다,1,11
바닷가,바다,0.5303730368614197,1
바닷속,해양,0.6107650399208069,3
바이러스,질병,0.5053297281265259,3
반사,마법,0.5487768650054932,1
반응,충격,0.5951288342475891,1
발견,발견,1,8
발생,혼란,0.6102904081344604,5
발전,성장,0.7311267852783203,4
