Word,Category,Similarity,Frequency
가능,여행,0.6136982440948486,1
가출,살인,0.6332151889801025,2
가치,윤리,0.6346501111984253,5
감동,기쁨,0.6450744271278381,1
감정,심리,0.7588332891464233,4
거래,도박,0.6013003587722778,1
거짓,범죄,0.5651490092277527,4
거짓말,부도덕,0.5334540605545044,21
걱정,후회,0.651527464389801,2
검사,심리,0.583127498626709,2
검색,여행,0.6249870657920837,1
게임,만화,0.7299426198005676,1
결핍,상실,0.6430530548095703,1
계획,여행,0.6060113906860352,1
고교,학교,0.6200820207595825,1
고등,과학,0.6939653754234314,2
고등학교,학교,0.6346824765205383,3
고속,교통,0.5951749682426453,2
곤란,상실,0.6153967976570129,2
공동체,시민운동,0.5667669773101807,1
관람,여행,0.5587009191513062,2
관심,기대,0.6249675154685974,7
관통,충격,0.5143977403640747,1
교실,학교,0.7313963174819946,2
교화,교육,0.5971044301986694,1
구매,여행,0.5682201981544495,2
구석,철학,0.5159526467323303,1
국가,경제,0.7089344263076782,1
굴종,권력,0.6378939747810364,1
권력자,권력,0.6178524494171143,1
극도,괴담,0.5402888059616089,2
근처,학교,0.5683311223983765,1
긍정,희망,0.608379602432251,1
기대감,기대,0.6246221661567688,1
기분,유쾌,0.6678951382637024,1
기숙사,학교,0.5904747843742371,4
기억,사랑,0.6537694931030273,2
길가,시골,0.6048659682273865,1
남자,사랑,0.5456969141960144,1
내공,열정,0.5447922348976135,1
노력,헌신,0.6555296182632446,3
누명,살인,0.5723448395729065,1
느낌,슬픔,0.6343626976013184,1
단절,상실,0.6133437752723694,1
담임,학교,0.570489764213562,2
대목,꿈,0.5127710700035095,1
도움,기대,0.5482439994812012,1
도착,여행,0.6466491222381592,1
두려움,두려움,1,1
드라마,드라마,1,2
또래,가족,0.6356732845306396,1
루머,음모론,0.6119884252548218,1
마음,기쁨,0.6783162951469421,2
맛집,음식,0.6337778568267822,1
매거진,드라마,0.5009645223617554,2
매체,방송,0.6981302499771118,1
모래성,고독,0.5842874050140381,1
모바일,컴퓨터,0.590937614440918,1
모범,교육,0.5256304740905762,7
모션,액션,0.6868695020675659,1
모습,꿈,0.5368646383285522,2
목격,발견,0.6813858151435852,2
무릎,상처,0.5319340229034424,1
미덕,욕망,0.6492798924446106,1
미래,미래,1,3
미스터리,미스터리,1,1
밑줄,철학,0.5054410099983215,1
반성,후회,0.62535560131073,1
발견,발견,1,3
방관,폭력,0.5894772410392761,1
방향,미래,0.5546501278877258,2
배급,교육,0.5531435608863831,1
버스,교통,0.730898916721344,4
변화,성장,0.7235260605812073,1
병실,가족,0.550695538520813,1
보육원,학교,0.5811977982521057,18
보호,환경,0.6321627497673035,1
부모,가족,0.6875284910202026,5
부인,가족,0.5428288578987122,1
분야,과학,0.6800429821014404,1
불안,불안,1,1
불행,절망,0.6734789609909058,2
비극,살인,0.6638696789741516,1
사건,살인,0.7159186005592346,4
사고,의심,0.5630502700805664,1
사람,꿈,0.5610076785087585,14
사랑,사랑,1,10
사진,미술,0.5546669960021973,5
사촌,가족,0.594305157661438,1
사회,경제,0.8096231818199158,1
삼촌,도둑,0.5172341465950012,1
상대,추격,0.558393657207489,1
상영,방송,0.6350025534629822,1
상황,혼란,0.6442916989326477,1
생각,후회,0.6602693200111389,5
생활,환경,0.7009555697441101,7
선망,사랑,0.549552857875824,1
선물,사랑,0.605575680732727,2
선택,희망,0.5827092528343201,5
