Word,Category,Similarity,Frequency
가능,여행,0.6136982440948486,1
가치,윤리,0.6346501111984253,1
간식,음식,0.7144152522087097,2
건물,학교,0.6180571913719177,2
격려,동정,0.5737254619598389,1
경계심,두려움,0.6281437873840332,1
공동체,시민운동,0.5667669773101807,1
공연,음악,0.7031762599945068,2
과정,교육,0.6268183588981628,1
관람,여행,0.5587009191513062,2
관찰,발견,0.5781939625740051,1
광고,방송,0.6559303998947144,1
교육,교육,1,1
구조,환경,0.6101574897766113,3
그물,도둑,0.5244705677032471,1
극장판,드라마,0.5479550361633301,2
근처,학교,0.5683311223983765,1
기대,기대,1,1
꼬리,동물,0.517152726650238,1
낙오,살인,0.5390106439590454,1
남매,가족,0.677724301815033,1
단맛,기쁨,0.6092857122421265,1
대쉬,좀비,0.5242200493812561,3
도덕,윤리,0.8225712776184082,1
도전,열정,0.6956499814987183,1
동물,동물,1,1
동화책,만화,0.5084381103515625,1
리더,성장,0.5860862135887146,1
마음,기쁨,0.6783162951469421,1
먹이,동물,0.6372129321098328,2
문제,갈등,0.6495088934898376,1
물고기,외계인,0.5886794924736023,1
뮤지컬,뮤지컬,1,1
바다,바다,1,8
바닷속,해양,0.6107650399208069,2
반응,충격,0.5951288342475891,1
발견,발견,1,3
발휘,기대,0.5250481367111206,1
방영,방송,0.7201281189918518,1
방학,학교,0.627612829208374,2
밴드,음악,0.5989826321601868,1
봉지,음식,0.5786659121513367,1
부채,경제,0.5646494030952454,1
사람,꿈,0.5610076785087585,1
산호초,해양,0.6232995986938477,1
상어,동물,0.6303016543388367,5
상영,방송,0.6350025534629822,1
생물,동물,0.7907639741897583,5
생태,환경,0.7058806419372559,1
생활,환경,0.7009555697441101,1
선택,희망,0.5827092528343201,2
성인,교육,0.5841577649116516,1
성장,성장,1,1
시리즈,만화,0.5106303691864014,1
시작,발견,0.534450113773346,3
시트,전기,0.5859465599060059,1
신공,권력,0.5420666337013245,1
신맛,유쾌,0.5980054140090942,1
신비,기쁨,0.6222472786903381,3
실력,춤,0.5194166302680969,1
실수,후회,0.5709443092346191,1
쓴맛,기쁨,0.5279139876365662,1
아동,가족,0.6625723242759705,1
아들,가족,0.5667959451675415,1
안내,여행,0.6065822839736938,2
암초,해양,0.6098135709762573,2
애니메이션,만화,0.68199223279953,2
엄마,사랑,0.5908297300338745,6
여정,이별,0.6358245611190796,1
역량,교육,0.6734476685523987,1
영상물,다큐멘터리,0.5938807725906372,1
영화,만화,0.7536719441413879,12
영화관,드라마,0.5831791758537292,8
예고편,드라마,0.5787103772163391,1
예약,여행,0.7399519085884094,1
위기,혼란,0.6975850462913513,1
유치원,학교,0.5778936743736267,1
육아,교육,0.7042093276977539,2
이름,신화,0.5608668327331543,1
이빨,상처,0.5658416748046875,2
이해,철학,0.5395932197570801,1
작가,만화,0.6290877461433411,1
작전,전투,0.6892815232276917,7
재미,모험,0.6051297187805176,1
재즈,음악,0.7233191728591919,2
정보,교통,0.6121577620506287,2
주말,여행,0.5565044283866882,1
중학교,학교,0.5561110973358154,1
쥬스,음식,0.5850934982299805,1
짠맛,유쾌,0.5613711476325989,1
청소년,교육,0.5544909238815308,2
추적,수색,0.6436203122138977,1
출간,만화,0.5564123392105103,1
출동,수색,0.5925505757331848,1
취학,교육,0.6108210682868958,1
치료,질병,0.7063292264938354,1
캐릭터,인형,0.5306801795959473,1
커피,음식,0.710979700088501,1
탐험,탐험,1,11
탐험대,탐험,0.52621990442276,12
특별,의료,0.5320938229560852,1
티비,방송,0.6468696594238281,2
팝콘,음식,0.529098629951477,5
표현,대화,0.5644240975379944,1
프로그램,교육,0.6089324355125427,3
할인,여행,0.5819051265716553,2
해저,해양,0.6485068798065186,1
확인,발견,0.6419516205787659,2
활약,성장,0.5549848675727844,1
후문,괴담,0.514339029788971,1
힐링,정글,0.5479092597961426,1

Category,Count,average
교육,8,0.670359693467617
여행,6,0.6095571517944336
만화,6,0.6067054569721222
동물,5,0.7150862574577331
음식,5,0.623650598526001
학교,5,0.5896011829376221
발견,4,0.6886489242315292
방송,4,0.6644826829433441
해양,4,0.6230962723493576
기쁨,4,0.6094408184289932
성장,3,0.7136903603871664
음악,3,0.6751593550046285
환경,3,0.6723312338193258
가족,3,0.6356975237528483
드라마,3,0.5699481964111328
탐험,2,0.76310995221138
기대,2,0.7625240683555603
윤리,2,0.7286106944084167
수색,2,0.6180854439735413
유쾌,2,0.5796882808208466
뮤지컬,1,1.0
바다,1,1.0
질병,1,0.7063292264938354
혼란,1,0.6975850462913513
열정,1,0.6956499814987183
전투,1,0.6892815232276917
갈등,1,0.6495088934898376
이별,1,0.6358245611190796
두려움,1,0.6281437873840332
교통,1,0.6121577620506287
모험,1,0.6051297187805176
충격,1,0.5951288342475891
다큐멘터리,1,0.5938807725906372
사랑,1,0.5908297300338745
외계인,1,0.5886794924736023
전기,1,0.5859465599060059
희망,1,0.5827092528343201
동정,1,0.5737254619598389
후회,1,0.5709443092346191
시민운동,1,0.5667669773101807
상처,1,0.5658416748046875
경제,1,0.5646494030952454
대화,1,0.5644240975379944
꿈,1,0.5610076785087585
신화,1,0.5608668327331543
정글,1,0.5479092597961426
권력,1,0.5420666337013245
철학,1,0.5395932197570801
살인,1,0.5390106439590454
의료,1,0.5320938229560852
인형,1,0.5306801795959473
도둑,1,0.5244705677032471
좀비,1,0.5242200493812561
춤,1,0.5194166302680969
괴담,1,0.514339029788971
