Word,Category,Similarity,Frequency
가능,여행,0.6136982440948486,1
감금,폭력,0.6267549395561218,2
감시,범죄,0.5818687081336975,1
강도,저항,0.6040131449699402,1
개요,여행,0.5623396039009094,2
갱생,교육,0.5466806888580322,3
거대,괴물,0.5640032887458801,1
거래,도박,0.6013003587722778,1
건물,학교,0.6180571913719177,1
게임,만화,0.7299426198005676,19
결백,부도덕,0.591943085193634,1
경제,경제,1,1
계획,여행,0.6060113906860352,4
고문,고문,1,4
고통,고통,1,7
공로,헌신,0.6110802292823792,1
공범,살인,0.6247848868370056,5
공연,음악,0.7031762599945068,1
공포,공포,1,9
공학,과학,0.7757261991500854,1
관람,여행,0.5587009191513062,4
관심,기대,0.6249675154685974,2
괴수,괴물,0.711188793182373,1
교훈,희망,0.596325695514679,1
구멍,상처,0.5373755693435669,1
구조,환경,0.6101574897766113,1
국가,경제,0.7089344263076782,2
국면,혼란,0.6054715514183044,1
그램,액션,0.5368850827217102,1
극도,괴담,0.5402888059616089,1
극악,좀비,0.5708756446838379,1
극한,생존,0.5677410364151001,1
기계,전기,0.6900599598884583,3
기대,기대,1,2
기억,사랑,0.6537694931030273,2
꼼수,부도덕,0.531127393245697,1
날갯짓,꿈,0.611755907535553,2
남자,사랑,0.5456969141960144,5
납치,살인,0.6689104437828064,4
노력,헌신,0.6555296182632446,2
녹음,음악,0.6460626721382141,2
뇌종양,정신병,0.6303978562355042,1
능력,교육,0.6137364506721497,2
다큐,다큐멘터리,0.6907773613929749,1
다큐멘터리,다큐멘터리,1,1
다크니스,판타지,0.5210812091827393,1
당뇨,질병,0.6643611788749695,1
당황,충격,0.6099472045898438,1
대중문화,드라마,0.5819228887557983,1
댓글,후회,0.505795419216156,1
덜미,도둑,0.5328584909439087,1
데스,액션,0.6484018564224243,1
도달,발견,0.5293484926223755,1
도박사,코미디,0.5230368971824646,1
도착,여행,0.6466491222381592,2
독창,춤,0.6945516467094421,1
동맹,군대,0.5977287888526917,1
동영상,가상현실,0.5586168169975281,1
