Word,Category,Similarity,Frequency
가능,여행,0.6136982440948486,8
가발,인형,0.6572422385215759,1
가수,음악,0.6117961406707764,3
가정,가족,0.7013463377952576,2
가족,가족,1,2
가족사,이별,0.5522727966308594,1
가치,윤리,0.6346501111984253,2
가치관,자기성찰,0.5398943424224854,1
간접,교육,0.5171768665313721,1
간첩,범죄,0.7072521448135376,1
감상,음악,0.6411212086677551,7
감성,심리,0.6301533579826355,7
감정,심리,0.7588332891464233,6
강도,저항,0.6040131449699402,1
개요,여행,0.5623396039009094,2
거실,가족,0.6177316308021545,4
거짓말,부도덕,0.5334540605545044,1
건물,학교,0.6180571913719177,1
검사,심리,0.583127498626709,2
검색,여행,0.6249870657920837,1
게임,만화,0.7299426198005676,2
게재,만화,0.5185191035270691,1
격리,수색,0.6269633769989014,3
결혼,연애,0.6863196492195129,3
고생,고통,0.5584161281585693,1
고통,고통,1,1
공동체,시민운동,0.5667669773101807,1
공포,공포,1,2
과도,권력,0.5410835146903992,1
과정,교육,0.6268183588981628,2
관람,여행,0.5587009191513062,4
관심,기대,0.6249675154685974,1
광고,방송,0.6559303998947144,1
괴물,괴물,1,2
교수,윤리,0.563416063785553,1
교훈,희망,0.596325695514679,1
구매,여행,0.5682201981544495,7
구실,권력,0.5587243437767029,1
구절,윤리,0.5378264784812927,1
국가,경제,0.7089344263076782,1
국어,과학,0.6368488669395447,1
그래픽,컴퓨터,0.6070578694343567,3
그림책,만화,0.5276436805725098,2
근처,학교,0.5683311223983765,1
글로벌,가상현실,0.526810348033905,1
금지,도박,0.519909143447876,2
기대,기대,1,1
기대감,기대,0.6246221661567688,1
기분,유쾌,0.6678951382637024,4
기술,농업,0.6986809968948364,1
기억,사랑,0.6537694931030273,2
기초,교육,0.6542633175849915,1
긴박,유쾌,0.5951035618782043,1
나레이션,드라마,0.5498647689819336,1
낙태,종교,0.6390891671180725,1
난로,전기,0.6435230374336243,2
남자,사랑,0.5456969141960144,2
남편,가족,0.6233720779418945,5
내역,여행,0.5270281434059143,1
내연,전기,0.6273136138916016,1
노래,춤,0.7242721915245056,7
노력,헌신,0.6555296182632446,1
노마드,정글,0.5301331877708435,1
노블,정글,0.5147438049316406,1
논리,철학,0.5892475247383118,1
눈길,동정,0.5653472542762756,1
눈물,슬픔,0.6957001090049744,3
눈사람,인형,0.5204224586486816,40
눈앞,기대,0.5104065537452698,1
느낌,슬픔,0.6343626976013184,13
능력,교육,0.6137364506721497,4
단계,성장,0.6726707220077515,5
단편,만화,0.737099826335907,2
담요,여행,0.5248530507087708,1
답장,이별,0.5622968077659607,1
당근,도둑,0.5249003767967224,3
대답,후회,0.5436964631080627,1
대설,재난,0.5749157071113586,1
대중음악,음악,0.6267694234848022,1
댓글,후회,0.505795419216156,1
덮밥,음식,0.6334396600723267,2
도배,폭력,0.5458524823188782,1
도시,도시,1,1
독백,고독,0.6572872996330261,1
독서,철학,0.7120826244354248,2
독특,춤,0.5334261655807495,1
동계,해양,0.602031946182251,1
동물,동물,1,3
동참,기대,0.5190383791923523,1
동화책,만화,0.5084381103515625,5
드라마,드라마,1,2
등잔,꿈,0.5596590638160706,1
디지털,컴퓨터,0.6325473189353943,1
또라이,부도덕,0.5551023483276367,1
램프,전기,0.65838223695755,1
랩프,액션,1,1
리메이크,드라마,0.5311616063117981,3
리본,인형,0.5378976464271545,1
마법,마법,1,1
마음,기쁨,0.6783162951469421,4
마켓,좀비,0.5886021852493286,1
만족,기대,0.6570032238960266,1
맛집,음식,0.6337778568267822,1
매력,열정,0.6489761471748352,7
먼지,전기,0.5306687355041504,1
메일,만화,0.5050849914550781,1
면모,자아,0.5388920903205872,1
멸망,멸망,1,1
명소,여행,0.6522921919822693,1
모델,교육,0.5252665281295776,1
모습,꿈,0.5368646383285522,6
목격,발견,0.6813858151435852,1
몰입,열정,0.6674494743347168,2
몽환,공포,0.573314368724823,2
묘미,개그,0.5619542598724365,1
무단,폭력,0.5057473182678223,1
무취,평온,0.5424302816390991,1
문제,갈등,0.6495088934898376,5
물건,인형,0.6116355657577515,2
물의,바다,0.5733065605163574,1
뭉치,도둑,0.6287791728973389,1
뮤지션,뮤지컬,0.5509675741195679,4
뮤지컬,뮤지컬,1,1
뮤직,음악,0.7402024269104004,1
뮤직비디오,드라마,0.5922357439994812,3
미궁,모험,0.6382749080657959,2
미스터리,미스터리,1,2
미안,후회,0.5432184934616089,1
미치광이,음모론,0.532588005065918,3
바디,액션,0.6481185555458069,1
반주,춤,0.6171732544898987,1
발견,발견,1,1
발라드,뮤지컬,0.5522355437278748,1
발매,방송,0.5153555870056152,1
발생,혼란,0.6102904081344604,5
발휘,기대,0.5250481367111206,1
밝기,환경,0.5148217678070068,1
방문,여행,0.5841829180717468,1
방안,교육,0.5864128470420837,1
방출,충격,0.545696496963501,1
배송,여행,0.6038719415664673,2
배포,교육,0.5816227197647095,1
뱀파이어,흡혈귀,0.6941889524459839,1
버터,좀비,0.5526251792907715,1
범죄,범죄,1,9
범행,범죄,0.5743876695632935,1
복합,의료,0.577019214630127,1
본체,인형,0.5343666076660156,2
부모,가족,0.6875284910202026,3
부업,도박,0.5280241966247559,1
부엌,음식,0.6172921061515808,1
부츠,정글,0.5559501051902771,1
북극곰,동물,0.599581241607666,1
분노,분노,1,1
분리,갈등,0.5047985911369324,1
분석,교육,0.5877142548561096,1
분신,절망,0.6349835395812988,1
불빛,꿈,0.5932316780090332,1
불우,가족,0.6040065884590149,1
붕대,상처,0.6371619701385498,1
뷰어,만화,0.5880469083786011,1
뷰티,음식,0.5668029189109802,1
블루투스,컴퓨터,0.5527451634407043,1
비난,분노,0.6010863780975342,1
비디오,컴퓨터,0.6554548740386963,1
사건,살인,0.7159186005592346,18
사고,의심,0.5630502700805664,1
사냥,전투,0.6896240711212158,1
사람,꿈,0.5610076785087585,21
사랑,사랑,1,4
사위,권력,0.5987797379493713,1
사진,미술,0.5546669960021973,1
사체,동물,0.6201708316802979,2
사항,여행,0.572464108467102,1
살인,살인,1,11
살인마,살인,0.5618112683296204,2
살인범,정신병,0.575529932975769,4
살인자,도둑,0.5604517459869385,2
삼촌,도둑,0.5172341465950012,1
상대,추격,0.558393657207489,3
상실,상실,1,1
상실감,무력감,0.7842317819595337,1
상영,방송,0.6350025534629822,2
상처,상처,1,2
상품,여행,0.6432608962059021,1
상황,혼란,0.6442916989326477,3
색상,환경,0.5759869813919067,2
생각,후회,0.6602693200111389,24
생존,생존,1,1
생활,환경,0.7009555697441101,3
서랍,가족,0.5487664937973022,2
서점가,만화,0.5361148118972778,2
석탄,농업,0.6836409568786621,1
선물,사랑,0.605575680732727,7
선택,희망,0.5827092528343201,4
설치,교육,0.5344357490539551,2
성당,감옥,0.5520095825195312,1
성인,교육,0.5841577649116516,2
성장,성장,1,2
세계,경제,0.6071235537528992,3
세상,기쁨,0.6082786321640015,2
세트,인형,0.564244270324707,1
셀러,용기,0.5134735107421875,3
소설,만화,0.8215566873550415,17
소파,가족,0.5909740924835205,2
소품,인형,0.6749653220176697,1
수사,범죄,0.673683226108551,1
수업,교육,0.711469292640686,1
수작,개그,0.621087908744812,2
숙면,기쁨,0.5578094124794006,1
스노우맨,드라마,0.6075946688652039,3
스릴러,스릴러,1,8
스마트,가상현실,0.5641322731971741,3
스마트폰,컴퓨터,0.6610336303710938,1
스마트홈,가상현실,0.5524491667747498,1
스트레스,무력감,0.6226179003715515,1
스틸,액션,0.5995299220085144,2
스파이,드라마,0.5523907542228699,1
슬픔,슬픔,1,1
시계,미술,0.6200137138366699,1
시리즈,만화,0.5106303691864014,15
시신,수색,0.6265639066696167,1
시작,발견,0.534450113773346,15
시즌,방송,0.5284544229507446,1
시청,방송,0.6024045944213867,3
식탁,음식,0.6009242534637451,1
신비,기쁨,0.6222472786903381,1
신작,만화,0.6367781758308411,1
신체,자아,0.5770981311798096,2
신혼,가족,0.683169960975647,3
실망감,무력감,0.6360117197036743,1
실종,살인,0.5558342933654785,1
실체,배신,0.5563049912452698,1
심리,심리,1,3
심리전,군사,0.5435269474983215,1
심장,기쁨,0.5264105200767517,1
싸움,전투,0.6696678996086121,1
아내,가족,0.582758903503418,4
아들,가족,0.5667959451675415,7
아티스트,뮤지컬,0.511084258556366,1
악마,괴물,0.7208051085472107,1
악수,대화,0.5958215594291687,1
안방,경제,0.5156270265579224,4
안티,폭력,0.6028836369514465,1
암투,갈등,0.6965560913085938,1
애니메이션,만화,0.68199223279953,6
애정,사랑,0.719462513923645,3
앨범,음악,0.6174340844154358,1
어플,음악,0.5505043864250183,4
언어,교육,0.6619911193847656,2
언행,의심,0.6156090497970581,1
엄마,사랑,0.5908297300338745,11
에피소드,드라마,0.5304465889930725,2
여우,동물,0.6776934266090393,2
여자,사랑,0.5380519032478333,7
여행,여행,1,4
연쇄,살인,0.6428334712982178,7
연애,연애,1,1
연출,액션,0.5377380847930908,8
열기,여행,0.5069565176963806,1
열혈,만화,0.5459798574447632,1
영상물,다큐멘터리,0.5938807725906372,1
영향,기대,0.5794242024421692,1
영화,만화,0.7536719441413879,67
영화감독,다큐멘터리,0.5571942329406738,1
예고편,드라마,0.5787103772163391,2
옛날,시골,0.5727385878562927,1
오브,정글,0.5825490951538086,2
오역,의심,0.5113115906715393,1
올림픽,스포츠,0.6479299068450928,1
완결,만화,0.5634143352508545,1
왜구,해적,0.6204046010971069,1
외국,만화,0.5371031761169434,1
외면,고통,0.6066063046455383,1
용의자,살인,0.5122509598731995,1
우울,불안,0.7772703766822815,2
우체부,유령,0.5554261207580566,2
워킹,액션,0.5734182000160217,2
원작,만화,0.7227425575256348,7
웨딩드레스,로맨스,0.5020800232887268,1
유소년,스포츠,0.5602501630783081,3
유행,복고,0.6242704391479492,1
음색,춤,0.5913295745849609,1
음악,음악,1,4
의심,의심,1,1
의외,충격,0.5524848699569702,1
이너,여행,0.5400770306587219,1
이응,만화,0.5326126217842102,1
이해,철학,0.5395932197570801,2
익명,좀비,0.5231932997703552,1
인간미,열정,0.5496418476104736,1
인격체,자아,0.5766502618789673,1
인기,여행,0.6119158267974854,3
인물,정치,0.5848035216331482,5
인상,기대,0.6044384241104126,2
일상,유쾌,0.5978867411613464,2
자연,환경,0.6941760182380676,1
작가,만화,0.6290877461433411,11
작곡,음악,0.6980688571929932,2
작사,음악,0.5452561378479004,1
잔인,음모,0.569640040397644,3
잔향,슬픔,0.5686807632446289,1
잔혹,폭력,0.6832144260406494,1
잡러,액션,1,1
장르,음악,0.7329081892967224,5
장면,액션,0.5999083518981934,9
